protein,Rg (nm)
Evo1,1.719797
Evo10,1.721316
Evo12,1.504181
Evo14,1.541279
Evo16,1.624857
Evo18,1.490031
Evo19,1.506727
Evo2,1.41614
Evo20,1.512624
Evo21,1.791241
Evo22,1.476496
Evo23,1.608504
Evo24,1.513395
Evo25,1.707048
Evo26,1.634674
Evo3,1.693997
Evo30,1.48214
Evo31,1.366833
Evo33,1.559813
Evo34,1.459034
Evo38,1.642762
Evo4,2.068883
Evo41,1.564318
Evo42,1.726196
Evo46,1.82963
Evo47,1.797359
Evo48,1.662612
Evo5,1.622373
Evo51,1.939628
Evo52,1.501632
Evo6,1.990962
Evo7,1.956839
Evo8,1.591717
Evo9,1.539136
