anchor_profile,reference_profile,pearson_r,pearson_p,abs_r
Density profile,MJ ε,0.4025680126875951,0.07844948931788945,0.4025680126875951
Density profile,HPS-Urry λ,0.4088173302096145,0.07349937013979312,0.4088173302096145
Density profile,Bandyopadhyay-Mehler (2008),0.1643296845276638,0.48874016731863223,0.1643296845276638
Density profile,Biou accessibility information value,0.28145119168619,0.229312629809159,0.28145119168619
Density profile,Black-Mould (1991),0.45699581772008946,0.04279380769435465,0.45699581772008946
Density profile,Cornette (1987),0.1880471024395515,0.4272280579923251,0.1880471024395515
Density profile,Eisenberg (1984),0.3340299732301121,0.1500459125797928,0.3340299732301121
Density profile,Engelman GES (1986),0.2601348554520524,0.2680099134786271,0.2601348554520524
Density profile,FDewet_C36m (2024),0.3074522500638848,0.18728743276124654,0.3074522500638848
Density profile,FDewet_a03ws (2024),0.27950144586529724,0.2326921801079609,0.27950144586529724
Density profile,FDewet_a99SBdisp (2024),0.30611200035090624,0.18931659618266966,0.30611200035090624
Density profile,Hassanali_nBranch <nbr> (2023),0.5059645628184344,0.022838552915715897,0.5059645628184344
Density profile,Hopp-Woods (1981),0.42803834042653266,0.059731521362704584,0.42803834042653266
Density profile,Jain (2017),0.3331169674602871,0.1512321594012961,0.3331169674602871
Density profile,Janin (1979),0.03549074040106294,0.8819121409646676,0.03549074040106294
Density profile,Kyte-Doolittle (1982),0.10571830486813738,0.6573383967234543,0.10571830486813738
Density profile,Meek (1980),0.5520899968820115,0.01160401823776603,0.5520899968820115
Density profile,PARCH (2023),-0.12119981212892303,0.6107489329079349,0.12119981212892303
Density profile,Ponnuswamy average gain in surrounding hydrophobicity,0.029582504443180023,0.9014697333340386,0.029582504443180023
Density profile,Ponnuswamy surrounding hydrophobicity folded form,0.0791186393812476,0.7402164426031996,0.0791186393812476
Density profile,Rose (1985),0.20081576665778123,0.39591101033142123,0.20081576665778123
Density profile,Tanford (1962),0.3239283192335167,0.16353543739375004,0.3239283192335167
Density profile,Wimley-White (1996),0.5192418540817535,0.018967807600720955,0.5192418540817535
