MOFF2_profile,Reference_profile,pearson_r,pearson_p,abs_r
MOFF2 λ,MJ ε,0.9462577921481161,2.920142407690284e-10,0.9462577921481161
MOFF2 λ,HPS-Urry λ,0.6395882670353177,0.0023921270145805403,0.6395882670353177
MOFF2 λ,Bandyopadhyay-Mehler (2008),0.8657881781584876,8.160944990437932e-07,0.8657881781584876
MOFF2 λ,Biou accessibility information value,0.9009735733989717,6.042217064500673e-08,0.9009735733989717
MOFF2 λ,Black-Mould (1991),0.82951281549873,6.113781365510987e-06,0.82951281549873
MOFF2 λ,Cornette (1987),0.8812343663700569,2.87957748382264e-07,0.8812343663700569
MOFF2 λ,Eisenberg (1984),0.6761176848663524,0.0010653130685885032,0.6761176848663524
MOFF2 λ,Engelman GES (1986),0.6402412444447785,0.0023598970147071224,0.6402412444447785
MOFF2 λ,FDewet_C36m (2024),0.7343423657176612,0.00022722418092943793,0.7343423657176612
MOFF2 λ,FDewet_a03ws (2024),0.6614007483393703,0.0014946863402835909,0.6614007483393703
MOFF2 λ,FDewet_a99SBdisp (2024),0.6983839210581421,0.0006151932848223531,0.6983839210581421
MOFF2 λ,Hassanali_nBranch <nbr> (2023),0.5893599216159079,0.006245861875822457,0.5893599216159079
MOFF2 λ,Hopp-Woods (1981),0.7709402251674706,6.93112110786888e-05,0.7709402251674706
MOFF2 λ,Jain (2017),0.86046449940514,1.134909960354888e-06,0.86046449940514
MOFF2 λ,Janin (1979),0.633733937088679,0.002697853108027707,0.633733937088679
MOFF2 λ,Kyte-Doolittle (1982),0.7425171602066472,0.00017725991139500342,0.7425171602066472
MOFF2 λ,Meek (1980),0.6653232172927044,0.0013681002262704036,0.6653232172927044
MOFF2 λ,PARCH (2023),0.5818025041287158,0.00712307077589977,0.5818025041287158
MOFF2 λ,Ponnuswamy average gain in surrounding hydrophobicity,0.61904416579366,0.003611000336132377,0.61904416579366
MOFF2 λ,Ponnuswamy surrounding hydrophobicity folded form,0.5836259095243669,0.006902712885998211,0.5836259095243669
MOFF2 λ,Rose (1985),0.85842842556668,1.282930448659053e-06,0.85842842556668
MOFF2 λ,Tanford (1962),0.6295554962298349,0.0029354121499039418,0.6295554962298349
MOFF2 λ,Wimley-White (1996),0.7644186034306736,8.69474056094661e-05,0.7644186034306736
MOFF2 Gaussian,MJ ε,0.08930900066271816,0.7080811647080781,0.08930900066271816
MOFF2 Gaussian,HPS-Urry λ,-0.00891034870122739,0.9702593609986278,0.00891034870122739
MOFF2 Gaussian,Bandyopadhyay-Mehler (2008),-0.14406938371284703,0.5445234054637171,0.14406938371284703
MOFF2 Gaussian,Biou accessibility information value,0.035896006921989174,0.8805728991248295,0.035896006921989174
MOFF2 Gaussian,Black-Mould (1991),0.009688177122067657,0.967664400758792,0.009688177122067657
MOFF2 Gaussian,Cornette (1987),0.041812824864716845,0.8610575318563678,0.041812824864716845
MOFF2 Gaussian,Eisenberg (1984),0.17619486997755973,0.45743687874825056,0.17619486997755973
MOFF2 Gaussian,Engelman GES (1986),0.1057157675563387,0.6573461390778064,0.1057157675563387
MOFF2 Gaussian,FDewet_C36m (2024),-0.006187159048946574,0.9793464607006896,0.006187159048946574
MOFF2 Gaussian,FDewet_a03ws (2024),-0.08079895051994317,0.7348873630277839,0.08079895051994317
MOFF2 Gaussian,FDewet_a99SBdisp (2024),-0.03429263742076284,0.8858731781128731,0.03429263742076284
MOFF2 Gaussian,Hassanali_nBranch <nbr> (2023),-0.05771499884479381,0.8090197872043232,0.05771499884479381
MOFF2 Gaussian,Hopp-Woods (1981),0.08657816722252579,0.7166488880933427,0.08657816722252579
MOFF2 Gaussian,Jain (2017),0.1065361772020765,0.6548444957056918,0.1065361772020765
MOFF2 Gaussian,Janin (1979),0.10203183803547727,0.6686223784853202,0.10203183803547727
MOFF2 Gaussian,Kyte-Doolittle (1982),-0.00031679764721740723,0.9989423806963381,0.00031679764721740723
MOFF2 Gaussian,Meek (1980),0.08484966303373669,0.7220888681192759,0.08484966303373669
MOFF2 Gaussian,PARCH (2023),-0.064050129403748,0.7884897481212765,0.064050129403748
MOFF2 Gaussian,Ponnuswamy average gain in surrounding hydrophobicity,-0.03520020281181392,0.8828724402545037,0.03520020281181392
MOFF2 Gaussian,Ponnuswamy surrounding hydrophobicity folded form,-0.04980058461746333,0.8348360745836014,0.04980058461746333
MOFF2 Gaussian,Rose (1985),0.040326081315880655,0.8659543934682348,0.040326081315880655
MOFF2 Gaussian,Tanford (1962),0.1594681636438677,0.5018631723771134,0.1594681636438677
MOFF2 Gaussian,Wimley-White (1996),-0.0298340445491541,0.9006358851204619,0.0298340445491541
Density profile,MJ ε,0.4025680126875951,0.07844948931788945,0.4025680126875951
Density profile,HPS-Urry λ,0.4088173302096145,0.07349937013979312,0.4088173302096145
Density profile,Bandyopadhyay-Mehler (2008),0.1643296845276638,0.48874016731863223,0.1643296845276638
Density profile,Biou accessibility information value,0.28145119168619,0.229312629809159,0.28145119168619
Density profile,Black-Mould (1991),0.45699581772008946,0.04279380769435465,0.45699581772008946
Density profile,Cornette (1987),0.1880471024395515,0.4272280579923251,0.1880471024395515
Density profile,Eisenberg (1984),0.3340299732301121,0.1500459125797928,0.3340299732301121
Density profile,Engelman GES (1986),0.2601348554520524,0.2680099134786271,0.2601348554520524
Density profile,FDewet_C36m (2024),0.3074522500638848,0.18728743276124654,0.3074522500638848
Density profile,FDewet_a03ws (2024),0.27950144586529724,0.2326921801079609,0.27950144586529724
Density profile,FDewet_a99SBdisp (2024),0.30611200035090624,0.18931659618266966,0.30611200035090624
Density profile,Hassanali_nBranch <nbr> (2023),0.5059645628184344,0.022838552915715897,0.5059645628184344
Density profile,Hopp-Woods (1981),0.42803834042653266,0.059731521362704584,0.42803834042653266
Density profile,Jain (2017),0.3331169674602871,0.1512321594012961,0.3331169674602871
Density profile,Janin (1979),0.03549074040106294,0.8819121409646676,0.03549074040106294
Density profile,Kyte-Doolittle (1982),0.10571830486813738,0.6573383967234543,0.10571830486813738
Density profile,Meek (1980),0.5520899968820115,0.01160401823776603,0.5520899968820115
Density profile,PARCH (2023),-0.12119981212892303,0.6107489329079349,0.12119981212892303
Density profile,Ponnuswamy average gain in surrounding hydrophobicity,0.029582504443180023,0.9014697333340386,0.029582504443180023
Density profile,Ponnuswamy surrounding hydrophobicity folded form,0.0791186393812476,0.7402164426031996,0.0791186393812476
Density profile,Rose (1985),0.20081576665778123,0.39591101033142123,0.20081576665778123
Density profile,Tanford (1962),0.3239283192335167,0.16353543739375004,0.3239283192335167
Density profile,Wimley-White (1996),0.5192418540817535,0.018967807600720955,0.5192418540817535
