anchor_profile,reference_profile,pearson_r,pearson_p,abs_r
MOFF2 λ,MJ ε,0.9462577921481161,2.920142407690284e-10,0.9462577921481161
MOFF2 λ,HPS-Urry λ,0.6395882670353177,0.0023921270145805403,0.6395882670353177
MOFF2 λ,Bandyopadhyay-Mehler (2008),0.8657881781584876,8.160944990437932e-07,0.8657881781584876
MOFF2 λ,Biou accessibility information value,0.9009735733989717,6.042217064500673e-08,0.9009735733989717
MOFF2 λ,Black-Mould (1991),0.82951281549873,6.113781365510987e-06,0.82951281549873
MOFF2 λ,Cornette (1987),0.8812343663700569,2.87957748382264e-07,0.8812343663700569
MOFF2 λ,Eisenberg (1984),0.6761176848663524,0.0010653130685885032,0.6761176848663524
MOFF2 λ,Engelman GES (1986),0.6402412444447785,0.0023598970147071224,0.6402412444447785
MOFF2 λ,FDewet_C36m (2024),0.7343423657176612,0.00022722418092943793,0.7343423657176612
MOFF2 λ,FDewet_a03ws (2024),0.6614007483393703,0.0014946863402835909,0.6614007483393703
MOFF2 λ,FDewet_a99SBdisp (2024),0.6983839210581421,0.0006151932848223531,0.6983839210581421
MOFF2 λ,Hassanali_nBranch <nbr> (2023),0.5893599216159079,0.006245861875822457,0.5893599216159079
MOFF2 λ,Hopp-Woods (1981),0.7709402251674706,6.93112110786888e-05,0.7709402251674706
MOFF2 λ,Jain (2017),0.86046449940514,1.134909960354888e-06,0.86046449940514
MOFF2 λ,Janin (1979),0.633733937088679,0.002697853108027707,0.633733937088679
MOFF2 λ,Kyte-Doolittle (1982),0.7425171602066472,0.00017725991139500342,0.7425171602066472
MOFF2 λ,Meek (1980),0.6653232172927044,0.0013681002262704036,0.6653232172927044
MOFF2 λ,PARCH (2023),0.5818025041287158,0.00712307077589977,0.5818025041287158
MOFF2 λ,Ponnuswamy average gain in surrounding hydrophobicity,0.61904416579366,0.003611000336132377,0.61904416579366
MOFF2 λ,Ponnuswamy surrounding hydrophobicity folded form,0.5836259095243669,0.006902712885998211,0.5836259095243669
MOFF2 λ,Rose (1985),0.85842842556668,1.282930448659053e-06,0.85842842556668
MOFF2 λ,Tanford (1962),0.6295554962298349,0.0029354121499039418,0.6295554962298349
MOFF2 λ,Wimley-White (1996),0.7644186034306736,8.69474056094661e-05,0.7644186034306736
