,MOFF2 λ,MOFF2 Gaussian,Density profile,MJ ε,HPS-Urry λ,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
MOFF2 λ,0.0,0.949334171143008,0.6260025954287084,0.05374220785188366,0.3604117329646823,0.13421182184151237,0.09902642660102834,0.17048718450126987,0.11876563362994319,0.3238823151336476,0.3597587555552215,0.2656576342823387,0.33859925166062954,0.3016160789418578,0.4106400783840919,0.22905977483252937,0.13953550059485964,0.3662660629113209,0.25748283979335285,0.3346767827072956,0.4181974958712842,0.38095583420633994,0.41637409047563334,0.14157157443332002,0.37044450377016525,0.2355813965693263
MOFF2 Gaussian,0.949334171143008,0.0,0.6253699527684511,0.9106909993372818,1.0089103487012274,1.144069383712847,0.9641039930780109,0.9903118228779323,0.9581871751352832,0.8238051300224403,0.8942842324436613,1.0061871590489466,1.0807989505199431,1.0342926374207628,1.0577149988447938,0.9134218327774742,0.8934638227979235,0.8979681619645228,1.0003167976472174,0.9151503369662632,1.064050129403748,1.035200202811814,1.0498005846174634,0.9596739186841193,0.8405318363561323,1.029834044549154
Density profile,0.6260025954287084,0.6253699527684511,0.0,0.5974319873124048,0.5911826697903855,0.8356703154723362,0.7185488083138101,0.5430041822799105,0.8119528975604486,0.665970026769888,0.7398651445479476,0.6925477499361152,0.7204985541347028,0.6938879996490936,0.4940354371815654,0.5719616595734673,0.6668830325397129,0.9645092595989371,0.8942816951318627,0.44791000311798856,1.121199812128923,0.97041749555682,0.9208813606187524,0.7991842333422189,0.6760716807664834,0.4807581459182465
MJ ε,0.05374220785188366,0.9106909993372818,0.5974319873124048,0.0,0.3684060851789469,0.09359087817322342,0.04997883232678568,0.1456416170941679,0.09287453862725625,0.2150884523513248,0.2793611939047258,0.252725735091768,0.345968906775723,0.2925279447720146,0.47932495002211306,0.18558888989507905,0.08963070863202427,0.25627816944527737,0.17639675500287966,0.32319924769067787,0.37559897768099015,0.30892332459140215,0.34438535790362157,0.08485062774258356,0.22449123187721032,0.2673655880531808
HPS-Urry λ,0.3604117329646823,1.0089103487012274,0.5911826697903855,0.3684060851789469,0.0,0.32742352495413873,0.3167004382280296,0.27887422554655195,0.46511124368817647,0.46063932580169475,0.3565366327843037,0.1684179793403182,0.11421194742917362,0.15727024919660892,0.4252393345387696,0.14485915328107302,0.34125077079013066,0.5071496613354525,0.5770108495690145,0.18913538759282122,0.5384766303462875,0.5754869832071836,0.5805604054295502,0.3777050527433775,0.5328209079856155,0.09371674423106557
Bandyopadhyay-Mehler (2008),0.13421182184151237,1.144069383712847,0.8356703154723362,0.09359087817322342,0.32742352495413873,0.0,0.044297977612477,0.14313818612879314,0.12744446547304045,0.21557121487998165,0.21823047005791585,0.2294528952295064,0.29430847095123047,0.21941629017752695,0.615578309275717,0.17197674680367714,0.14910675914447702,0.16938767414863598,0.14433427437546653,0.42360231033545315,0.2451315308468438,0.18078740087164258,0.24283738786033993,0.05737294709899177,0.24099760231524137,0.30644349860860687
Biou accessibility information value,0.09902642660102834,0.9641039930780109,0.7185488083138101,0.04997883232678568,0.3167004382280296,0.044297977612477,0.0,0.16067426264718254,0.12317830736690627,0.18882596730483314,0.22097341298685358,0.2500842988716798,0.31716528915210773,0.26062994954000573,0.5817866227857545,0.15240668356889353,0.1275643288641981,0.15168514827998036,0.17143037941482353,0.3976480118188158,0.31501719929386185,0.2319666804327427,0.2661517216209106,0.01922852232468797,0.2123606726641729,0.25855642677936785
Black-Mould (1991),0.17048718450126987,0.9903118228779323,0.5430041822799105,0.1456416170941679,0.27887422554655195,0.14313818612879314,0.16067426264718254,0.0,0.27052001279902727,0.11495524139577162,0.13485239627089252,0.16295022045408736,0.2451762632477722,0.1337518646631104,0.5849769544732679,0.12087491042065945,0.17525289763948404,0.2703264602580504,0.16425134286353105,0.22247830679969138,0.35598065718816785,0.3884384484429657,0.4357329169368548,0.22093744854078412,0.16267272310778824,0.22077994577759075
Cornette (1987),0.11876563362994319,0.9581871751352832,0.8119528975604486,0.09287453862725625,0.46511124368817647,0.12744446547304045,0.12317830736690627,0.27052001279902727,0.0,0.35550503148321644,0.38235436679545576,0.3083330669568436,0.3277245265347595,0.32488875618362156,0.6039526132981585,0.32279325052427277,0.17933870674185048,0.30082925465703014,0.19298267034004635,0.4761714887839844,0.38651117320717143,0.2125206346136843,0.2375780881452163,0.11544794135338854,0.36230394704778757,0.3881550078255971
Eisenberg (1984),0.3238823151336476,0.8238051300224403,0.665970026769888,0.2150884523513248,0.46063932580169475,0.21557121487998165,0.18882596730483314,0.11495524139577162,0.35550503148321644,0.0,0.06454749911355184,0.34468609117487503,0.4451924761124417,0.29299814689649883,0.912652811587711,0.15396002105868067,0.23580457999140103,0.09994731157740278,0.12140753542824467,0.42437219759570355,0.28657463886356005,0.38823975409750344,0.44500827978250757,0.19360724562109222,0.028112118633727645,0.41460849025003743
