,MOFF2 λ,MOFF2 Gaussian,delta_W*,MJ ε,HPS-Urry λ,Density profile,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
MOFF2 λ,1.0,0.0506658288569921,0.8908359846818602,0.9462577921481161,0.6395882670353177,0.3739974045712916,0.8657881781584876,0.9009735733989717,0.82951281549873,0.8812343663700569,0.6761176848663524,0.6402412444447785,0.7343423657176612,0.6614007483393703,0.6983839210581421,0.5893599216159079,0.7709402251674706,0.86046449940514,0.633733937088679,0.7425171602066472,0.6653232172927044,0.5818025041287158,0.61904416579366,0.5836259095243669,0.85842842556668,0.6295554962298349,0.7644186034306736
MOFF2 Gaussian,0.0506658288569921,1.0,0.07494500474435062,0.08930900066271816,-0.00891034870122739,0.3746300472315489,-0.14406938371284703,0.035896006921989174,0.009688177122067657,0.041812824864716845,0.17619486997755973,0.1057157675563387,-0.006187159048946574,-0.08079895051994317,-0.03429263742076284,-0.05771499884479381,0.08657816722252579,0.1065361772020765,0.10203183803547727,-0.00031679764721740723,0.08484966303373669,-0.064050129403748,-0.03520020281181392,-0.04980058461746333,0.040326081315880655,0.1594681636438677,-0.0298340445491541
delta_W*,0.8908359846818602,0.07494500474435062,1.0,0.8321654147571709,0.7229467096325447,0.324069629869164,0.7827275801582753,0.856494030324253,0.7208699823132422,0.728345284317727,0.5544157118523714,0.5801621239940848,0.7215536012819541,0.6487474433729773,0.6772306189709818,0.6401611950302609,0.7355769395602196,0.7638490910605602,0.5722998668924472,0.5708329208099012,0.6304295175103694,0.48908915466909075,0.5961950031339525,0.5765541823729489,0.7997408731826078,0.49756883062904333,0.7939451936190484
MJ ε,0.9462577921481161,0.08930900066271816,0.8321654147571709,1.0,0.6315939148210529,0.4025680126875951,0.9064091218267767,0.9500211676732143,0.854358382905832,0.9071254613727439,0.7849115476486752,0.7206388060952742,0.7472742649082319,0.6540310932242772,0.7074720552279853,0.5206750499778867,0.8144111101049211,0.9103692913679757,0.7437218305547225,0.8236032449971203,0.6768007523093221,0.62440102231901,0.6910766754085979,0.6556146420963782,0.9151493722574168,0.7755087681227896,0.7326344119468191
HPS-Urry λ,0.6395882670353177,-0.00891034870122739,0.7229467096325447,0.6315939148210529,0.9999999999999999,0.4088173302096145,0.6725764750458614,0.6832995617719703,0.7211257744534482,0.5348887563118234,0.5393606741983051,0.6434633672156965,0.8315820206596818,0.8857880525708265,0.8427297508033909,0.5747606654612303,0.855140846718927,0.6587492292098692,0.49285033866454747,0.42298915043098567,0.8108646124071789,0.46152336965371266,0.4245130167928164,0.4194395945704498,0.6222949472566228,0.4671790920143845,0.9062832557689345
Density profile,0.3739974045712916,0.3746300472315489,0.324069629869164,0.4025680126875951,0.4088173302096145,1.0,0.1643296845276638,0.28145119168619,0.45699581772008946,0.1880471024395515,0.3340299732301121,0.2601348554520524,0.3074522500638848,0.27950144586529724,0.30611200035090624,0.5059645628184344,0.42803834042653266,0.3331169674602871,0.03549074040106294,0.10571830486813738,0.5520899968820115,-0.12119981212892303,0.029582504443180023,0.0791186393812476,0.20081576665778123,0.3239283192335167,0.5192418540817535
Bandyopadhyay-Mehler (2008),0.8657881781584876,-0.14406938371284703,0.7827275801582753,0.9064091218267767,0.6725764750458614,0.1643296845276638,0.9999999999999998,0.9557020223875231,0.8568618138712067,0.8725555345269598,0.7844287851200186,0.7817695299420844,0.7705471047704938,0.7056915290487694,0.780583709822473,0.384421690724283,0.828023253196323,0.8508932408555229,0.8306123258513637,0.8556657256245336,0.5763976896645469,0.7548684691531563,0.8192125991283574,0.7571626121396602,0.9426270529010086,0.7590023976847587,0.6935565013913931
Biou accessibility information value,0.9009735733989717,0.035896006921989174,0.856494030324253,0.9500211676732143,0.6832995617719703,0.28145119168619,0.9557020223875231,0.9999999999999998,0.8393257373528175,0.8768216926330941,0.8111740326951666,0.7790265870131464,0.7499157011283204,0.6828347108478925,0.739370050459994,0.4182133772142454,0.8475933164311066,0.8724356711358019,0.8483148517200197,0.8285696205851768,0.6023519881811841,0.6849828007061384,0.7680333195672572,0.7338482783790894,0.9807714776753126,0.7876393273358272,0.741443573220632
Black-Mould (1991),0.82951281549873,0.009688177122067657,0.7208699823132422,0.854358382905832,0.7211257744534482,0.45699581772008946,0.8568618138712067,0.8393257373528175,1.0,0.7294799872009728,0.8850447586042285,0.8651476037291076,0.8370497795459125,0.7548237367522277,0.8662481353368895,0.415023045526732,0.879125089579341,0.8247471023605158,0.7296735397419496,0.8357486571364692,0.7775216932003087,0.644019342811832,0.6115615515570344,0.5642670830631453,0.7790625514592163,0.8373272768922119,0.7792200542224091
Cornette (1987),0.8812343663700569,0.041812824864716845,0.728345284317727,0.9071254613727439,0.5348887563118234,0.1880471024395515,0.8725555345269598,0.8768216926330941,0.7294799872009728,1.0,0.6444949685167838,0.6176456332045445,0.6916669330431566,0.6722754734652405,0.6751112438163783,0.3960473867018414,0.6772067494757275,0.8206612932581493,0.6991707453429699,0.8070173296599539,0.5238285112160158,0.6134888267928287,0.7874793653863158,0.7624219118547839,0.884552058646612,0.6376960529522125,0.6118449921744031
