,MOFF2 λ,MOFF2 Gaussian,delta_W*,MJ ε,HPS-Urry λ,Density profile,Bandyopadhyay-Mehler (2008),Biou accessibility information value,Black-Mould (1991),Cornette (1987),Eisenberg (1984),Engelman GES (1986),FDewet_C36m (2024),FDewet_a03ws (2024),FDewet_a99SBdisp (2024),Hassanali_nBranch <nbr> (2023),Hopp-Woods (1981),Jain (2017),Janin (1979),Kyte-Doolittle (1982),Meek (1980),PARCH (2023),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form,Rose (1985),Tanford (1962),Wimley-White (1996)
MOFF2 λ,0.0,0.8320052832212883,1.3982510142718846e-07,2.920142407690284e-10,0.0023921270145805403,0.10427859036939409,8.160944990437932e-07,6.042217064500673e-08,6.113781365510987e-06,2.87957748382264e-07,0.0010653130685885032,0.0023598970147071224,0.00022722418092943793,0.0014946863402835909,0.0006151932848223531,0.006245861875822457,6.93112110786888e-05,1.134909960354888e-06,0.002697853108027707,0.00017725991139500342,0.0013681002262704036,0.00712307077589977,0.003611000336132377,0.006902712885998211,1.282930448659053e-06,0.0029354121499039418,8.69474056094661e-05
MOFF2 Gaussian,0.8320052832212883,0.0,0.753501988961282,0.7080811647080781,0.9702593609986278,0.10364727512154136,0.5445234054637171,0.8805728991248295,0.967664400758792,0.8610575318563678,0.45743687874825056,0.6573461390778064,0.9793464607006896,0.7348873630277839,0.8858731781128731,0.8090197872043232,0.7166488880933427,0.6548444957056918,0.6686223784853202,0.9989423806963381,0.7220888681192759,0.7884897481212765,0.8828724402545037,0.8348360745836014,0.8659543934682348,0.5018631723771134,0.9006358851204619
delta_W*,1.3982510142718846e-07,0.753501988961282,0.0,5.363854569721145e-06,0.0003166431434583456,0.16334116887912595,4.514433185171513e-05,1.4389107986219012e-06,0.0003358098735564384,0.0002711243893457908,0.011186623201335259,0.007326200827052639,0.0003293943021019939,0.0019720729531608368,0.0010375966631107718,0.0023638285326579873,0.0002189848792617152,8.865597316024051e-05,0.008366712214936553,0.008573582041982733,0.0028843332455013725,0.028634126720634936,0.005530832655725516,0.007789685465511179,2.3174049780519583e-05,0.02559271247034331,2.9283590580754118e-05
MJ ε,2.920142407690284e-10,0.7080811647080781,5.363854569721145e-06,0.0,0.0028174355157759056,0.07844948931788945,3.710145741148623e-08,1.5404705212426195e-10,1.6301276896547239e-06,3.4715582365314415e-08,4.1578108937452816e-05,0.00033800335026743335,0.0001527675750177449,0.0017591933434143942,0.0004848510459002252,0.018583445232665453,1.2375509988299083e-05,2.5517472813018696e-08,0.00017076014919123708,8.119803770685534e-06,0.001048229051269612,0.003252194726957337,0.0007404889075536117,0.001699277822907817,1.5862687262139105e-08,5.887598556405665e-05,0.00023905863420896424
HPS-Urry λ,0.0023921270145805403,0.9702593609986278,0.0003166431434583456,0.0028174355157759056,0.0,0.07349937013979312,0.0011576922284677257,0.0008969197142331918,0.0003333969808109448,0.015098116131064057,0.014117578653354465,0.0022061153277385358,5.521531604788478e-06,2.0606160191136972e-07,3.112235631324093e-06,0.00802884547090537,1.5576412479443712e-06,0.0015857120977434173,0.027251865500413974,0.06314185246920567,1.4472379392656095e-05,0.040521837423396226,0.062097493919554984,0.0656258384497735,0.0033895525319520637,0.03781618382444879,3.7535243485020316e-08
Density profile,0.10427859036939409,0.10364727512154136,0.16334116887912595,0.07844948931788945,0.07349937013979312,0.0,0.48874016731863223,0.229312629809159,0.04279380769435465,0.4272280579923251,0.1500459125797928,0.2680099134786271,0.18728743276124654,0.2326921801079609,0.18931659618266966,0.022838552915715897,0.059731521362704584,0.1512321594012961,0.8819121409646676,0.6573383967234543,0.01160401823776603,0.6107489329079349,0.9014697333340386,0.7402164426031996,0.39591101033142123,0.16353543739375004,0.018967807600720955
Bandyopadhyay-Mehler (2008),8.160944990437932e-07,0.5445234054637171,4.514433185171513e-05,3.710145741148623e-08,0.0011576922284677257,0.48874016731863223,1.2459683851238688e-139,5.309987202671883e-11,1.4080403654470383e-06,5.256545028874871e-07,4.2344732569654216e-05,4.679016110185033e-05,7.027924728249271e-05,0.000508349159429418,4.889875947729203e-05,0.0942267454187509,6.57362996198594e-06,1.9877325343574425e-06,5.792548104264291e-06,1.510609440591097e-06,0.0078103185998342345,0.00011967620381536965,9.959356080228885e-06,0.00011097949268048447,5.189407795702303e-10,0.00010440278927727117,0.0006957490147074768
Biou accessibility information value,6.042217064500673e-08,0.8805728991248295,1.4389107986219012e-06,1.5404705212426195e-10,0.0008969197142331918,0.229312629809159,5.309987202671883e-11,1.2459683851238688e-139,3.724541515477228e-06,3.932382283154744e-07,1.427792296372172e-05,5.1791733117031565e-05,0.000140465725197908,0.000907091852941041,0.00019524835449406772,0.06650081587624851,2.390093222197872e-06,5.298792683968512e-07,2.296520065764943e-06,6.401582678822949e-06,0.004945774125626526,0.0008608881780515478,7.674892949087258e-05,0.00023059507552457143,3.183271817655506e-14,3.746753929057152e-05,0.00018322978095013134
Black-Mould (1991),6.113781365510987e-06,0.967664400758792,0.0003358098735564384,1.6301276896547239e-06,0.0003333969808109448,0.04279380769435465,1.4080403654470383e-06,3.724541515477228e-06,0.0,0.00026230374908025504,2.1783719546078496e-07,8.497492416859194e-07,4.190216989353659e-06,0.00011985142736151018,7.926538576419035e-07,0.06881840156263472,3.347084300690707e-07,7.692115686192322e-06,0.00026082389958979375,4.478578328136139e-06,5.4726732285714194e-05,0.002180447106372561,0.004166623885934019,0.009551269774136666,5.1723286340148165e-05,4.130853617633198e-06,5.142444844052059e-05
Cornette (1987),2.87957748382264e-07,0.8610575318563678,0.0002711243893457908,3.4715582365314415e-08,0.015098116131064057,0.4272280579923251,5.256545028874871e-07,3.932382283154744e-07,0.00026230374908025504,0.0,0.0021586869924187535,0.003709893071742052,0.0007296249283293109,0.001165846172285788,0.0010909122651571578,0.08387428502072246,0.0010381846605188746,9.316041696485068e-06,0.0006028445496755482,1.7089076964696855e-05,0.01775961750578479,0.004017171144494113,3.769850602694172e-05,9.306494687485771e-05,2.2596424966477774e-07,0.002487605558666477,0.004144360026762192
