anchor_profile,reference_profile,pearson_r,pearson_p,abs_r
MOFF2 λ,MJ ε,0.9462577921481161,2.920142407690284e-10,0.9462577921481161
MOFF2 λ,Biou accessibility information value,0.9009735733989717,6.042217064500673e-08,0.9009735733989717
MOFF2 λ,Cornette (1987),0.8812343663700569,2.87957748382264e-07,0.8812343663700569
MOFF2 λ,Bandyopadhyay-Mehler (2008),0.8657881781584876,8.160944990437932e-07,0.8657881781584876
MOFF2 λ,Jain (2017),0.86046449940514,1.134909960354888e-06,0.86046449940514
MOFF2 Gaussian,Eisenberg (1984),0.17619486997755973,0.45743687874825056,0.17619486997755973
MOFF2 Gaussian,Tanford (1962),0.1594681636438677,0.5018631723771134,0.1594681636438677
MOFF2 Gaussian,Bandyopadhyay-Mehler (2008),-0.14406938371284703,0.5445234054637171,0.14406938371284703
MOFF2 Gaussian,Jain (2017),0.1065361772020765,0.6548444957056918,0.1065361772020765
MOFF2 Gaussian,Engelman GES (1986),0.1057157675563387,0.6573461390778064,0.1057157675563387
Density profile,Meek (1980),0.5520899968820115,0.01160401823776603,0.5520899968820115
Density profile,Wimley-White (1996),0.5192418540817535,0.018967807600720955,0.5192418540817535
Density profile,Hassanali_nBranch <nbr> (2023),0.5059645628184344,0.022838552915715897,0.5059645628184344
Density profile,Black-Mould (1991),0.45699581772008946,0.04279380769435465,0.45699581772008946
Density profile,Hopp-Woods (1981),0.42803834042653266,0.059731521362704584,0.42803834042653266
