,MOFF2 Gaussian,Density profile,Hassanali_nBranch <nbr> (2023),Meek (1980),Wimley-White (1996),HPS-Urry λ,FDewet_a03ws (2024),FDewet_a99SBdisp (2024),FDewet_C36m (2024),PARCH (2023),Kyte-Doolittle (1982),Tanford (1962),Eisenberg (1984),Engelman GES (1986),Janin (1979),Hopp-Woods (1981),Black-Mould (1991),Cornette (1987),MOFF2 λ,MJ ε,Rose (1985),Biou accessibility information value,Bandyopadhyay-Mehler (2008),Jain (2017),Ponnuswamy average gain in surrounding hydrophobicity,Ponnuswamy surrounding hydrophobicity folded form
MOFF2 Gaussian,1.0,0.3746300472315489,-0.05771499884479384,0.08484966303373671,-0.02983404454915408,-0.008910348701227394,-0.08079895051994321,-0.03429263742076283,-0.0061871590489465805,-0.06405012940374805,-0.0003167976472173961,0.1594681636438677,0.17619486997755973,0.10571576755633874,0.10203183803547726,0.08657816722252573,0.009688177122067685,0.041812824864716824,0.05066582885699205,0.08930900066271821,0.040326081315880655,0.03589600692198915,-0.14406938371284708,0.10653617720207649,-0.03520020281181399,-0.04980058461746334
Density profile,0.3746300472315489,1.0,0.5059645628184346,0.5520899968820114,0.5192418540817535,0.40881733020961447,0.27950144586529724,0.3061120003509063,0.3074522500638848,-0.12119981212892304,0.10571830486813731,0.3239283192335166,0.334029973230112,0.26013485545205234,0.03549074040106294,0.42803834042653266,0.45699581772008946,0.18804710243955142,0.3739974045712916,0.40256801268759523,0.20081576665778111,0.2814511916861899,0.1643296845276638,0.3331169674602871,0.029582504443180006,0.07911863938124761
Hassanali_nBranch <nbr> (2023),-0.05771499884479384,0.5059645628184346,1.0,0.6076790704747168,0.5938055087358096,0.5747606654612304,0.43761754650048784,0.39308210203774996,0.48408447002670096,0.08947474964310027,0.05952911311449725,0.039187405717741194,0.08734718841228893,0.06814523465169321,-0.06691352912174643,0.4170973735036532,0.4150230455267321,0.3960473867018414,0.5893599216159081,0.5206750499778869,0.304685156905547,0.41821337721424545,0.38442169072428306,0.4619831511111321,0.157748178478754,0.17534107119668993
Meek (1980),0.08484966303373671,0.5520899968820114,0.6076790704747168,1.0,0.837247912312288,0.8108646124071788,0.8227659118936008,0.7991222253148759,0.8039720495796663,0.41003850294053157,0.5214278205492364,0.5170832290605307,0.5756278024042965,0.5989584627949943,0.39157804466290896,0.7264832841486174,0.7775216932003086,0.5238285112160156,0.6653232172927044,0.6768007523093221,0.5152996604146647,0.6023519881811842,0.5763976896645469,0.7011519122043302,0.2705534572565286,0.19440169630354923
Wimley-White (1996),-0.02983404454915408,0.5192418540817535,0.5938055087358096,0.837247912312288,1.0,0.9062832557689344,0.8249544839521472,0.7770611631680353,0.7594943748435433,0.3756553698963093,0.49977603934540543,0.5110878124742712,0.5853915097499626,0.6540799444580697,0.5104937984344927,0.8544415737034534,0.7792200542224093,0.6118449921744029,0.7644186034306737,0.7326344119468192,0.6859125356505942,0.7414435732206321,0.6935565013913931,0.709001743800341,0.43183427308453204,0.42747354867149207
HPS-Urry λ,-0.008910348701227394,0.40881733020961447,0.5747606654612304,0.8108646124071788,0.9062832557689344,1.0,0.8857880525708264,0.8427297508033911,0.8315820206596818,0.46152336965371255,0.42298915043098556,0.46717909201438446,0.5393606741983052,0.6434633672156963,0.4928503386645476,0.855140846718927,0.721125774453448,0.5348887563118235,0.6395882670353177,0.6315939148210531,0.6222949472566225,0.6832995617719704,0.6725764750458613,0.6587492292098693,0.42451301679281633,0.41943959457044977
FDewet_a03ws (2024),-0.08079895051994321,0.27950144586529724,0.43761754650048784,0.8227659118936008,0.8249544839521472,0.8857880525708264,1.0,0.9479209280483669,0.9266460606932798,0.5181839632653688,0.6155501308867871,0.4912377356402872,0.5548075238875583,0.6856659551187652,0.523074380214753,0.7615942327885703,0.7548237367522278,0.6722754734652405,0.6614007483393705,0.654031093224277,0.6416518018870386,0.6828347108478923,0.7056915290487695,0.6861979520209056,0.5257976454668856,0.5069588187100323
FDewet_a99SBdisp (2024),-0.03429263742076283,0.3061120003509063,0.39308210203774996,0.7991222253148759,0.7770611631680353,0.8427297508033911,0.9479209280483669,1.0,0.9642157528169749,0.6480067029415169,0.7338895557795907,0.6312542276247923,0.7070018531035012,0.8303166229182851,0.6369694190967446,0.8331520571699775,0.8662481353368896,0.6751112438163784,0.6983839210581422,0.7074720552279854,0.6963654120262387,0.7393700504599943,0.780583709822473,0.7509027618494376,0.6031627792091383,0.5606031361710802
FDewet_C36m (2024),-0.0061871590489465805,0.3074522500638848,0.48408447002670096,0.8039720495796663,0.7594943748435433,0.8315820206596818,0.9266460606932798,0.9642157528169749,1.0,0.5940075335555619,0.7078564781765122,0.6022958558059158,0.655313908825125,0.7465623628613134,0.5780710427486828,0.8006657655835615,0.8370497795459126,0.6916669330431564,0.7343423657176613,0.747274264908232,0.6800142769551814,0.7499157011283202,0.7705471047704936,0.8218063034694104,0.5706520035416861,0.5336630582774392
PARCH (2023),-0.06405012940374805,-0.12119981212892304,0.08947474964310027,0.41003850294053157,0.3756553698963093,0.46152336965371255,0.5181839632653688,0.6480067029415169,0.5940075335555619,1.0,0.7390733527813366,0.6625395284683777,0.71342536113644,0.7485917572896046,0.8047481082142323,0.6945096816894827,0.6440193428118322,0.6134888267928286,0.5818025041287158,0.6244010223190098,0.722676217474488,0.6849828007061382,0.7548684691531562,0.6684469190659483,0.6149123802031862,0.5181817747514502
Kyte-Doolittle (1982),-0.0003167976472173961,0.10571830486813731,0.05952911311449725,0.5214278205492364,0.49977603934540543,0.42298915043098556,0.6155501308867871,0.7338895557795907,0.7078564781765122,0.7390733527813366,1.0,0.8791955230648316,0.8785924645717553,0.8495286288130793,0.8659227175920822,0.6967321259457857,0.835748657136469,0.8070173296599537,0.7425171602066472,0.8236032449971203,0.8409746299463786,0.8285696205851765,0.8556657256245335,0.7984491137904928,0.7469395360748847,0.670663833366751
Tanford (1962),0.1594681636438677,0.3239283192335166,0.039187405717741194,0.5170832290605307,0.5110878124742712,0.46717909201438446,0.4912377356402872,0.6312542276247923,0.6022958558059158,0.6625395284683777,0.8791955230648316,1.0,0.9718878813662724,0.8682213597218996,0.8792895175131611,0.7751178089666536,0.8373272768922118,0.6376960529522124,0.6295554962298348,0.7755087681227897,0.7824475921941934,0.7876393273358271,0.7590023976847586,0.7482899618081797,0.6212268704230561,0.5857370210209911
Eisenberg (1984),0.17619486997755973,0.334029973230112,0.08734718841228893,0.5756278024042965,0.5853915097499626,0.5393606741983052,0.5548075238875583,0.7070018531035012,0.655313908825125,0.71342536113644,0.8785924645717553,0.9718878813662724,1.0,0.9354525008864482,0.9000526884225972,0.8460399789413193,0.8850447586042284,0.6444949685167836,0.6761176848663524,0.7849115476486752,0.8063927543789078,0.8111740326951669,0.7844287851200183,0.764195420008599,0.6117602459024966,0.5549917202174924
Engelman GES (1986),0.10571576755633874,0.26013485545205234,0.06814523465169321,0.5989584627949943,0.6540799444580697,0.6434633672156963,0.6856659551187652,0.8303166229182851,0.7465623628613134,0.7485917572896046,0.8495286288130793,0.8682213597218996,0.9354525008864482,1.0,0.8898893107157768,0.8817042341895185,0.8651476037291075,0.6176456332045442,0.6402412444447785,0.7206388060952742,0.7875689914164532,0.7790265870131464,0.7817695299420842,0.7216952663276843,0.6201094412396941,0.5681074121304607
Janin (1979),0.10203183803547726,0.03549074040106294,-0.06691352912174643,0.39157804466290896,0.5104937984344927,0.4928503386645476,0.523074380214753,0.6369694190967446,0.5780710427486828,0.8047481082142323,0.8659227175920822,0.8792895175131611,0.9000526884225972,0.8898893107157768,1.0,0.7807141901087993,0.7296735397419496,0.6991707453429699,0.6337339370886791,0.7437218305547226,0.8916337624622113,0.8483148517200196,0.830612325851364,0.7185726411492818,0.7296208271533177,0.6653453900596679
Hopp-Woods (1981),0.08657816722252573,0.42803834042653266,0.4170973735036532,0.7264832841486174,0.8544415737034534,0.855140846718927,0.7615942327885703,0.8331520571699775,0.8006657655835615,0.6945096816894827,0.6967321259457857,0.7751178089666536,0.8460399789413193,0.8817042341895185,0.7807141901087993,1.0,0.8791250895793405,0.6772067494757272,0.7709402251674706,0.814411110104921,0.8254791054496169,0.8475933164311065,0.8280232531963229,0.8287802954392487,0.6034695890687745,0.5795515059015364
Black-Mould (1991),0.009688177122067685,0.45699581772008946,0.4150230455267321,0.7775216932003086,0.7792200542224093,0.721125774453448,0.7548237367522278,0.8662481353368896,0.8370497795459126,0.6440193428118322,0.835748657136469,0.8373272768922118,0.8850447586042284,0.8651476037291075,0.7296735397419496,0.8791250895793405,1.0,0.7294799872009727,0.8295128154987301,0.8543583829058321,0.7790625514592159,0.8393257373528175,0.8568618138712069,0.824747102360516,0.6115615515570343,0.5642670830631452
Cornette (1987),0.041812824864716824,0.18804710243955142,0.3960473867018414,0.5238285112160156,0.6118449921744029,0.5348887563118235,0.6722754734652405,0.6751112438163784,0.6916669330431564,0.6134888267928286,0.8070173296599537,0.6376960529522124,0.6444949685167836,0.6176456332045442,0.6991707453429699,0.6772067494757272,0.7294799872009727,1.0,0.8812343663700568,0.9071254613727437,0.8845520586466115,0.8768216926330937,0.8725555345269596,0.8206612932581495,0.7874793653863157,0.7624219118547837
MOFF2 λ,0.05066582885699205,0.3739974045712916,0.5893599216159081,0.6653232172927044,0.7644186034306737,0.6395882670353177,0.6614007483393705,0.6983839210581422,0.7343423657176613,0.5818025041287158,0.7425171602066472,0.6295554962298348,0.6761176848663524,0.6402412444447785,0.6337339370886791,0.7709402251674706,0.8295128154987301,0.8812343663700568,1.0,0.9462577921481163,0.85842842556668,0.9009735733989717,0.8657881781584876,0.8604644994051404,0.6190441657936601,0.5836259095243667
MJ ε,0.08930900066271821,0.40256801268759523,0.5206750499778869,0.6768007523093221,0.7326344119468192,0.6315939148210531,0.654031093224277,0.7074720552279854,0.747274264908232,0.6244010223190098,0.8236032449971203,0.7755087681227897,0.7849115476486752,0.7206388060952742,0.7437218305547226,0.814411110104921,0.8543583829058321,0.9071254613727437,0.9462577921481163,1.0,0.9151493722574164,0.9500211676732143,0.9064091218267766,0.9103692913679757,0.6910766754085979,0.6556146420963784
