ordered_profile_name
MOFF2 Gaussian
Density profile
Hassanali_nBranch <nbr> (2023)
Meek (1980)
Wimley-White (1996)
HPS-Urry λ
FDewet_a03ws (2024)
FDewet_a99SBdisp (2024)
FDewet_C36m (2024)
PARCH (2023)
Kyte-Doolittle (1982)
Tanford (1962)
Eisenberg (1984)
Engelman GES (1986)
Janin (1979)
Hopp-Woods (1981)
Black-Mould (1991)
Cornette (1987)
MOFF2 λ
MJ ε
Rose (1985)
Biou accessibility information value
Bandyopadhyay-Mehler (2008)
Jain (2017)
Ponnuswamy average gain in surrounding hydrophobicity
Ponnuswamy surrounding hydrophobicity folded form
