time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.0256,0.3536,0.2224,0.0512,0.0048,0.0224,0.168,0.0288,0.0032,0.0768,0.5584,0.6288,0.2448,0.12,0.2992,0.4368,0.248,0.1296,0.2272,0.1264,0.1088,0.08,0.0,0.0,0.0,0.0,0.0048,0.2016,0.3616,0.1056,0.0512,0.3408,0.4624,0.0064,0.2352,0.504,0.1376,0.0672,0.2016,0.1728,0.1616,0.112,0.2944,0.208,0.1728,0.3456,0.2256,1.1584,1.76,1.6768,0.8512,0.2464,0.328,0.336,0.1888,0.0416,0.032,0.1632,0.024,0.0448,0.0592,0.1792,0.1488,0.0064,0.0,0.0608,0.2816,0.5808,0.4832,0.1712,0.0992,0.0768,0.016,0.2048,0.2416,0.1936,0.0224,0.1664,0.1984,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.224,0.2272,0.352,0.1232,0.1392,0.304,0.6864,0.8176,0.3488
10.0,0.04,0.24,0.1664,0.0864,0.1728,0.7472,0.3344,0.1664,0.3056,0.1552,0.2912,0.6432,0.1936,0.136,0.2016,0.1232,0.136,0.136,0.2336,0.0752,0.0192,0.16,0.208,0.0976,0.1984,0.3424,0.0848,0.0048,0.0,0.0,0.0,0.0,0.1136,0.2624,0.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.5024,0.9472,1.504,1.7184,1.1248,0.5264,0.1744,0.2784,0.1392,0.4992,0.2176,0.0,0.0,0.0,0.0368,0.504,0.392,0.0976,0.0656,0.0256,0.1872,0.3648,0.2608,0.0656,0.2128,0.384,0.2672,0.3408,0.0832,0.0352,0.184,0.0,0.0096,0.16,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.2896,0.3168,0.7792,0.568,0.0144,0.0,0.0512,0.4384,0.2352,0.9216,0.7648
20.0,0.5696,0.4928,0.0816,0.2032,0.0544,0.1968,0.1552,0.0,0.0096,0.1664,0.3424,0.0384,0.0496,0.1792,0.0912,0.0,0.0128,0.3456,0.3104,0.1152,0.0928,0.0,0.0,0.0,0.0,0.0,0.0,0.0608,0.2112,0.2352,0.1504,0.0976,0.1216,0.0,0.0,0.1472,0.096,0.1696,0.096,0.0992,0.0832,0.1488,0.384,0.1952,0.1152,0.0288,0.152,0.4224,0.8336,1.7456,2.328,1.1536,0.4336,0.1216,0.0144,0.0112,0.1808,0.0272,0.0448,0.2144,0.216,0.5328,0.3552,0.3424,0.5744,0.1616,0.0896,0.0992,0.0,0.0672,0.0688,0.0272,0.056,0.0,0.1968,0.2416,0.0,0.0128,0.1088,0.3088,0.04,0.0688,0.16,0.2624,0.1344,0.0368,0.0608,0.3968,0.5792,0.7168,0.3088,0.6832,0.1664,0.2352,0.104,0.0192,0.192,0.008,0.2272,0.4304
30.0,0.0,0.0,0.0,0.0,0.0048,0.0944,0.12,0.0,0.0384,0.1808,0.1184,0.5152,0.1968,0.0464,0.0,0.1344,0.0848,0.0864,0.344,0.2864,0.3792,0.0368,0.1168,0.144,0.3824,0.4672,0.0928,0.0752,0.0,0.0,0.0,0.0,0.0,0.0048,0.1216,0.0608,0.032,0.0,0.0,0.0,0.0,0.0,0.0064,0.2112,0.3808,0.0592,0.1984,0.384,1.7792,2.0816,1.7888,1.856,0.4304,0.1632,0.0864,0.0064,0.1808,0.5168,0.4896,0.2368,0.1776,0.5648,0.4544,0.4256,0.1776,0.128,0.1808,0.328,0.272,0.0256,0.0,0.0,0.0112,0.1328,0.1744,0.0848,0.0352,0.0,0.0,0.0,0.0144,0.256,0.152,0.0576,0.24,0.1824,0.0832,0.2928,0.9792,0.6336,0.16,0.1792,0.0576,0.0,0.0,0.0,0.0,0.1376,0.2672,0.0336
40.0,0.0,0.0,0.0,0.0736,0.248,0.2656,0.0704,0.0,0.0,0.0,0.0,0.0064,0.2544,0.1776,0.0,0.0,0.0,0.0368,0.1776,0.184,0.2384,0.24,0.0992,0.12,0.1728,0.4576,0.1552,0.1008,0.064,0.3728,0.2032,0.2176,0.1344,0.2656,0.1552,0.3648,0.1744,0.176,0.0544,0.0224,0.1296,0.0768,0.1696,0.04,0.0,0.0,0.032,0.3456,1.5424,2.9024,2.9776,1.4832,0.488,0.2144,0.2672,0.2256,0.0432,0.0,0.0032,0.232,0.2368,0.304,0.1008,0.04,0.1664,0.0656,0.2,0.1424,0.0432,0.0032,0.0736,0.104,0.0384,0.0,0.0736,0.3072,0.272,0.0048,0.0496,0.3696,0.2384,0.0,0.048,0.2208,0.4592,0.1168,0.032,0.0,0.024,0.1952,0.1184,0.1472,0.2704,0.3952,0.1552,0.0096,0.0064,0.0704,0.248,0.1136
50.0,0.096,0.1616,0.2592,0.3184,0.0416,0.0,0.0,0.024,0.0752,0.3728,0.176,0.192,0.416,0.3264,0.1632,0.008,0.0,0.016,0.1648,0.0384,0.0,0.0,0.0,0.1728,0.0464,0.0496,0.0912,0.0832,0.1776,0.3264,0.1424,0.0064,0.0,0.0224,0.1888,0.2144,0.3872,0.0768,0.2176,0.1776,0.1216,0.12,0.064,0.2048,0.4416,0.1584,0.0288,0.464,1.4752,2.9184,2.6768,1.7664,0.3216,0.0096,0.0,0.0,0.1232,0.3104,0.136,0.0656,0.2112,0.24,0.032,0.2432,0.3088,0.0832,0.0,0.1056,0.056,0.0384,0.0192,0.0,0.0,0.0544,0.1488,0.4592,0.5712,0.1024,0.1136,0.0848,0.0,0.152,0.0672,0.0,0.0096,0.056,0.2656,0.1168,0.4096,0.208,0.0304,0.0,0.0784,0.0768,0.2656,0.0432,0.1136,0.2512,0.0784,0.1888
60.0,0.0,0.0,0.1792,0.312,0.1664,0.0,0.1008,0.176,0.1568,0.0048,0.0,0.0688,0.1504,0.2592,0.2432,0.1248,0.1568,0.1808,0.28,0.064,0.0064,0.0048,0.2032,0.336,0.048,0.088,0.1712,0.4016,0.28,0.288,0.1616,0.072,0.1376,0.0,0.0,0.1472,0.4512,0.0592,0.0,0.2256,0.3936,0.0384,0.0,0.0,0.0,0.0432,0.3008,0.7104,1.24,1.6352,1.6112,1.6256,0.8624,0.088,0.1248,0.096,0.0368,0.1792,0.28,0.4528,0.28,0.4272,0.1216,0.1088,0.1664,0.1904,0.248,0.5264,0.4304,0.0416,0.0416,0.0624,0.2224,0.1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.12,0.3376,0.2144,0.224,0.1648,0.0816,0.0656,0.4176,0.2912,0.1952,0.432,0.2752,0.2448,0.2672,0.0528,0.088
70.0,0.0,0.0,0.0608,0.2912,0.0864,0.3472,0.0912,0.0,0.0896,0.1936,0.1152,0.0384,0.0016,0.0,0.0,0.0,0.0,0.0832,0.1376,0.2208,0.3744,0.504,0.2048,0.1088,0.2752,0.1344,0.2864,0.2976,0.2096,0.1888,0.0432,0.0,0.032,0.1712,0.1248,0.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.2704,0.2128,0.184,0.4032,0.3136,0.7088,2.0352,2.5472,1.4944,0.5648,0.248,0.2352,0.1072,0.1328,0.1216,0.0304,0.0624,0.2688,0.104,0.0416,0.4208,0.3216,0.0928,0.04,0.3296,0.072,0.0,0.0,0.0,0.0,0.1808,0.2352,0.0224,0.0,0.0,0.008,0.0768,0.1472,0.0832,0.2384,0.4432,0.4016,0.2688,0.2112,0.184,0.1632,0.52,0.5504,0.2112,0.2848,0.3632,0.4304,0.3344,0.1216,0.0,0.0,0.2192
80.0,0.0672,0.1456,0.0736,0.0352,0.0784,0.0384,0.0272,0.1424,0.072,0.2288,0.1872,0.6528,0.224,0.0,0.0,0.1152,0.1856,0.4432,0.2608,0.36,0.1696,0.0496,0.1504,0.0192,0.0,0.0,0.0272,0.0608,0.2352,0.1152,0.0,0.0816,0.2928,0.064,0.0448,0.3552,0.408,0.064,0.184,0.144,0.112,0.0032,0.0,0.0,0.04,0.2624,0.3296,0.4208,1.4096,2.096,2.7472,1.3216,0.2672,0.3008,0.0496,0.1808,0.0,0.0,0.0,0.048,0.1344,0.0368,0.0,0.136,0.0832,0.1408,0.2304,0.1728,0.1136,0.0,0.208,0.0352,0.0768,0.1328,0.4176,0.7328,0.2752,0.3696,0.1632,0.0,0.0096,0.0992,0.0816,0.0288,0.0,0.0288,0.0288,0.0336,0.3728,0.4064,0.2672,0.4768,0.6272,0.1696,0.0288,0.136,0.0512,0.0032,0.0768,0.1424
90.0,0.1616,0.2336,0.2784,0.1488,0.1328,0.1168,0.024,0.2464,0.4432,0.3488,0.0576,0.0,0.0,0.0,0.0736,0.3216,0.0432,0.136,0.2192,0.2912,0.2128,0.0176,0.0,0.008,0.056,0.344,0.0848,0.0352,0.0992,0.1984,0.0512,0.0304,0.3152,0.2416,0.208,0.3472,0.1648,0.048,0.192,0.2976,0.1168,0.0112,0.0,0.0,0.0,0.0064,0.1952,0.2,1.3328,3.2064,3.2096,1.2272,0.048,0.1152,0.088,0.2272,0.008,0.0,0.0032,0.0624,0.3392,0.0336,0.0,0.0544,0.2912,0.2608,0.2144,0.7264,0.2064,0.0,0.0,0.0016,0.136,0.3136,0.2064,0.0,0.0,0.0,0.0,0.0288,0.0784,0.2896,0.0944,0.1024,0.064,0.0,0.0,0.0,0.0,0.032,0.2448,0.4752,0.6336,0.1872,0.1648,0.3632,0.0912,0.0,0.0,0.0
