time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.0,0.0144,0.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.184,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1792,0.04,0.008,0.1808,0.0304,0.1264,0.0928,0.0,0.0,0.0992,0.12,0.0,0.04,0.8224,3.0192,5.656,5.3568,3.256,0.7952,0.2096,0.328,0.0256,0.0,0.0,0.0,0.0,0.0,0.184,0.0352,0.0,0.1024,0.08,0.032,0.0048,0.0,0.0,0.0,0.064,0.1376,0.0176,0.0304,0.0944,0.064,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.1648,0.0048,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1408,0.0688,0.168,0.0416,0.0,0.0,0.0,0.0048,0.1328,0.0816,0.0,0.0,0.0,0.2176,0.2096,0.0112,0.0,0.0496,0.1696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.8832,3.5488,4.9696,4.9984,3.4608,1.1456,0.0272,0.0,0.0,0.0,0.0,0.1792,0.04,0.0,0.0,0.0,0.0,0.0112,0.0784,0.0688,0.0608,0.0,0.0,0.0,0.0,0.0,0.0368,0.1712,0.1712,0.2704,0.216,0.0112,0.0,0.0,0.0352,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.1632,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.3248,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.7488,3.6128,5.4832,4.528,3.2768,1.0624,0.1088,0.0,0.0272,0.1856,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.1136,0.0784,0.0,0.0144,0.1504,0.0544,0.0,0.1232,0.096,0.0,0.096,0.1216,0.16,0.1168,0.1344,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.1984,0.0576,0.1664,0.0432,0.2112,0.008,0.0
30.0,0.0,0.0,0.0,0.0,0.1376,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.1056,0.016,0.0,0.0,0.0,0.0064,0.048,0.088,0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1696,0.0496,0.0,0.0,0.0336,0.168,0.0176,0.0,0.0,0.1056,0.8608,3.1472,5.4544,4.9344,2.8416,1.2352,0.1472,0.1248,0.0,0.0,0.176,0.0432,0.0,0.0,0.0,0.0,0.0064,0.08,0.032,0.08,0.0208,0.0,0.0,0.0,0.0,0.0,0.0048,0.0992,0.1152,0.0,0.0064,0.296,0.0992,0.0752,0.1216,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.0864,0.1408,0.1632,0.0064,0.0,0.0784,0.1072,0.0336,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592,0.136,0.1744,0.0688,0.0,0.0,0.0,0.0,0.0224,0.064,0.1328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.1248,0.0912,0.0912,0.128,0.0,0.0,0.0656,0.1536,0.0,0.0208,0.0432,0.0848,0.08,0.1984,0.0304,0.2,0.0,0.0,0.0,0.2,1.2528,3.392,4.3216,3.8816,2.9936,1.4112,0.496,0.0256,0.0,0.0,0.096,0.1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.1248,0.1248,0.136,0.0032,0.1776,0.12,0.1344,0.0064,0.0,0.0,0.0,0.0,0.1936,0.0256,0.0,0.0,0.0,0.1888,0.176,0.0736,0.0,0.0,0.0,0.0,0.0384,0.1408,0.04,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0672,0.32,0.0512,0.0,0.0,0.0,0.0,0.0,0.0016,0.2064,0.2176,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1552,0.0448,0.0,0.0,0.0,0.0,0.0608,0.1136,0.04,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.1424,0.0768,0.0,0.0,0.0,0.0,0.0,0.0368,0.3648,0.232,0.0272,0.1632,1.4112,4.1888,4.5248,3.768,2.8576,1.2864,0.6576,0.1408,0.0688,0.0,0.0,0.0,0.0,0.0,0.0,0.1376,0.0816,0.0,0.0,0.0,0.0,0.0,0.016,0.1328,0.0704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424,0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.096,0.1216,0.032,0.2912,0.0784,0.0256,0.0112,0.0,0.0,0.0,0.0,0.0144,0.1392,0.0656,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.1168,0.0512,0.0016,0.1632,0.0528,0.0048,0.0688,0.1472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.9792,4.12,4.6416,5.3376,3.128,1.3376,0.136,0.0,0.0,0.1792,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816,0.0912,0.0464,0.0,0.0,0.0,0.0,0.0,0.0768,0.056,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.2048,0.0464,0.2368,0.1632,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824,0.0784,0.1376,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.1408,0.2016,0.232,0.056,0.1024,0.1168,0.0064,0.0416,0.0576,0.056,0.1104,0.1088,0.0576,0.0,0.12,1.536,3.152,4.7792,4.3584,2.6896,1.4272,0.3504,0.0,0.0,0.0032,0.096,0.1184,0.0016,0.0,0.1024,0.1872,0.272,0.096,0.0032,0.1232,0.0928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.24,0.1184,0.0416,0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.304,0.104,0.0,0.0,0.0784,0.1392,0.36,0.072,0.008,0.0,0.0,0.0,0.0,0.0,0.0256,0.1456,0.048,0.0,0.0,0.1536,0.1008,0.3088,0.2144,0.0992,0.0,0.0,0.0,0.0016,0.1312,1.2528,3.2528,4.4912,4.4112,2.9936,1.2144,0.3488,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.1184,0.1408,0.0896,0.168,0.0512,0.0,0.0,0.0,0.008,0.1024,0.1024,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,0.1248,0.3248,0.192,0.016,0.0,0.0128,0.144,0.0624,0.0,0.0,0.1024,0.1136,0.0064,0.0992,0.0752,0.0544,0.1248,0.0816,0.0016,0.0368,0.1664,0.0144,0.0,0.0,0.032,0.1728,0.0144,0.0,0.0,0.0,0.0704,0.232,0.136,0.0688,0.2192,0.1504,0.0,0.0,0.0,0.0336,0.0912,0.0944,0.0,0.0,0.0096,0.3728,2.872,5.2448,5.1664,2.7232,0.488,0.1232,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.1536,0.0528,0.0,0.0432,0.3392,0.056,0.0016,0.1968,0.2464,0.12,0.0928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1168,0.096,0.0064,0.0,0.0,0.0,0.0,0.0032,0.1552,0.0608
