z_center_nm,z_left_nm,z_right_nm
1.5,0.0,3.0
4.5,3.0,6.0
7.5,6.0,9.0
10.5,9.0,12.0
13.5,12.0,15.0
16.5,15.0,18.0
19.5,18.0,21.0
22.5,21.0,24.0
25.5,24.0,27.0
28.5,27.0,30.0
31.5,30.0,33.0
34.5,33.0,36.0
37.5,36.0,39.0
40.5,39.0,42.0
43.5,42.0,45.0
46.5,45.0,48.0
49.5,48.0,51.0
52.5,51.0,54.0
55.5,54.0,57.0
58.5,57.0,60.0
61.5,60.0,63.0
64.5,63.0,66.0
67.5,66.0,69.0
70.5,69.0,72.0
73.5,72.0,75.0
76.5,75.0,78.0
79.5,78.0,81.0
82.5,81.0,84.0
85.5,84.0,87.0
88.5,87.0,90.0
91.5,90.0,93.0
94.5,93.0,96.0
97.5,96.0,99.0
100.5,99.0,102.0
103.5,102.0,105.0
106.5,105.0,108.0
109.5,108.0,111.0
112.5,111.0,114.0
115.5,114.0,117.0
118.5,117.0,120.0
121.5,120.0,123.0
124.5,123.0,126.0
127.5,126.0,129.0
130.5,129.0,132.0
133.5,132.0,135.0
136.5,135.0,138.0
139.5,138.0,141.0
142.5,141.0,144.0
145.5,144.0,147.0
148.5,147.0,150.0
151.5,150.0,153.0
154.5,153.0,156.0
157.5,156.0,159.0
160.5,159.0,162.0
163.5,162.0,165.0
166.5,165.0,168.0
169.5,168.0,171.0
172.5,171.0,174.0
175.5,174.0,177.0
178.5,177.0,180.0
181.5,180.0,183.0
184.5,183.0,186.0
187.5,186.0,189.0
190.5,189.0,192.0
193.5,192.0,195.0
196.5,195.0,198.0
199.5,198.0,201.0
202.5,201.0,204.0
205.5,204.0,207.0
208.5,207.0,210.0
211.5,210.0,213.0
214.5,213.0,216.0
217.5,216.0,219.0
220.5,219.0,222.0
223.5,222.0,225.0
226.5,225.0,228.0
229.5,228.0,231.0
232.5,231.0,234.0
235.5,234.0,237.0
238.5,237.0,240.0
241.5,240.0,243.0
244.5,243.0,246.0
247.5,246.0,249.0
250.5,249.0,252.0
253.5,252.0,255.0
256.5,255.0,258.0
259.5,258.0,261.0
262.5,261.0,264.0
265.5,264.0,267.0
268.5,267.0,270.0
271.5,270.0,273.0
274.5,273.0,276.0
277.5,276.0,279.0
280.5,279.0,282.0
283.5,282.0,285.0
286.5,285.0,288.0
289.5,288.0,291.0
292.5,291.0,294.0
295.5,294.0,297.0
298.5,297.0,300.0
