time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.0,0.0,0.0336,0.0912,0.1376,0.1744,0.2112,0.096,0.1136,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.1632,0.2912,0.4144,0.2272,0.0,0.008,0.1296,0.08,0.0016,0.032,0.1696,0.2048,0.2336,0.0176,0.192,0.0672,0.1248,0.056,0.296,0.3824,0.36,0.0752,0.1568,0.1072,0.0304,0.112,0.0128,0.0016,0.144,0.3792,1.088,2.28,2.8368,3.0144,1.7712,1.1648,0.2688,0.1424,0.1024,0.2192,0.1776,0.0144,0.1456,0.2144,0.064,0.0,0.096,0.3856,0.3376,0.2096,0.0672,0.0,0.0,0.0,0.0,0.0,0.0032,0.2352,0.2,0.0,0.0112,0.2208,0.12,0.2896,0.2496,0.1184,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.2256,0.2064
10.0,0.0,0.096,0.2192,0.2368,0.1056,0.0,0.0,0.0,0.0848,0.112,0.0224,0.0,0.0,0.0,0.0704,0.3904,0.1536,0.0464,0.1776,0.1712,0.2928,0.0128,0.0,0.0,0.0,0.0,0.0656,0.2928,0.2688,0.0304,0.0,0.0064,0.1072,0.1056,0.0,0.0,0.0,0.0,0.0128,0.3472,0.7872,0.4128,0.2672,0.3008,0.064,0.0,0.0288,1.1008,2.4288,3.5504,3.032,2.1616,1.0176,0.2672,0.0032,0.0,0.0,0.0,0.0,0.1088,0.1104,0.136,0.2704,0.208,0.1456,0.2656,0.0704,0.0,0.1552,0.4336,0.0688,0.0,0.0,0.0,0.1024,0.1152,0.0016,0.0,0.0,0.0,0.0,0.0048,0.056,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,0.2064,0.168,0.0176,0.0832,0.136
20.0,0.0,0.1168,0.1216,0.1536,0.3712,0.1136,0.0,0.0,0.0,0.0,0.0896,0.0544,0.224,0.3488,0.1456,0.0144,0.0064,0.2368,0.3936,0.7008,0.1312,0.1264,0.1472,0.0112,0.0,0.0992,0.152,0.1152,0.072,0.0,0.0,0.0,0.0,0.0304,0.0608,0.4496,0.5392,0.3264,0.4256,0.2112,0.1072,0.0416,0.0,0.104,0.104,0.0176,0.16,0.8528,2.3152,2.5408,2.1344,1.9536,1.2368,0.5264,0.0944,0.016,0.0,0.0,0.0,0.0016,0.0928,0.296,0.048,0.0,0.0224,0.0544,0.224,0.1392,0.1376,0.424,0.4928,0.1584,0.1136,0.2656,0.1488,0.0112,0.0,0.0,0.0,0.0064,0.0288,0.1456,0.0384,0.0,0.0,0.0,0.0016,0.2112,0.2256,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.2528,0.112,0.0528,0.0
30.0,0.0,0.216,0.312,0.36,0.312,0.0896,0.1472,0.0976,0.0048,0.04,0.048,0.0208,0.1616,0.1552,0.008,0.1648,0.0896,0.1216,0.1968,0.3712,0.3616,0.1536,0.4624,0.0512,0.1136,0.2384,0.0832,0.0032,0.0,0.0064,0.0368,0.1376,0.3456,0.1216,0.0096,0.0,0.0,0.0,0.0864,0.1328,0.04,0.3616,0.0368,0.0256,0.152,0.12,0.3136,0.7024,1.8272,2.9744,3.376,2.0832,0.6032,0.1504,0.4016,0.2368,0.0512,0.1872,0.1776,0.1344,0.0736,0.0192,0.1728,0.1184,0.128,0.0,0.0096,0.0384,0.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.1824,0.0032,0.0,0.0,0.0,0.0832,0.1344,0.0016,0.0,0.1136,0.1056,0.0,0.0064,0.4832,0.2176,0.0352,0.1344,0.04,0.0544,0.0976,0.0272,0.0656,0.1536
40.0,0.504,0.2448,0.2192,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328,0.688,0.0752,0.0,0.0,0.128,0.0928,0.1904,0.296,0.1696,0.0,0.0,0.0,0.0,0.0848,0.1584,0.0992,0.2416,0.0736,0.0,0.0144,0.3936,0.432,0.0368,0.0096,0.1776,0.032,0.0,0.0032,0.1504,0.0432,0.0224,0.0208,0.2064,0.8432,2.3456,2.808,3.6464,2.4128,0.5808,0.0688,0.0128,0.2288,0.2624,0.0944,0.0736,0.0928,0.112,0.04,0.0304,0.0944,0.0544,0.0,0.0768,0.1248,0.0912,0.1408,0.136,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.1424,0.0208,0.0352,0.4464,0.3472,0.088,0.1248,0.0544,0.0,0.0176,0.0896,0.3776,0.152,0.0208,0.0,0.0,0.0,0.0,0.1424,0.0768
50.0,0.0,0.0,0.0,0.0,0.0976,0.2752,0.056,0.0096,0.0,0.0,0.0,0.0,0.0,0.0864,0.232,0.1552,0.1696,0.0144,0.0,0.0,0.0304,0.2576,0.2512,0.1184,0.0,0.0,0.0896,0.1296,0.0,0.0,0.0,0.0,0.0,0.0368,0.5984,0.3968,0.0496,0.0144,0.0,0.0,0.016,0.3488,0.328,0.264,0.2224,0.1504,0.024,0.6336,2.184,3.7232,3.696,2.136,0.448,0.128,0.192,0.232,0.3776,0.24,0.0,0.04,0.3008,0.1616,0.1312,0.024,0.0,0.0,0.0,0.0,0.0,0.0384,0.1808,0.0,0.0,0.0,0.0016,0.1696,0.048,0.0,0.0352,0.44,0.328,0.0976,0.168,0.1776,0.0832,0.2976,0.0752,0.0512,0.0,0.0,0.0,0.0,0.0704,0.2816,0.0864,0.0,0.0,0.016,0.1184,0.0848
60.0,0.0,0.0,0.0832,0.184,0.1664,0.0048,0.0544,0.1168,0.048,0.2336,0.1936,0.0112,0.0,0.0368,0.12,0.0624,0.1056,0.1296,0.1856,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.2112,0.2112,0.0048,0.1072,0.32,0.0112,0.0,0.0,0.0,0.0,0.0896,0.6304,2.1296,3.6864,4.2896,2.3824,0.4752,0.1264,0.0,0.0,0.0176,0.0992,0.3824,0.44,0.2176,0.1376,0.3856,0.2048,0.7728,0.4,0.3456,0.1824,0.4608,0.256,0.0816,0.0416,0.1648,0.0128,0.0,0.0,0.0,0.0544,0.1648,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544,0.1488,0.1472,0.088,0.0,0.0
70.0,0.216,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.136,0.0752,0.0,0.0208,0.1536,0.0448,0.0,0.0,0.2144,0.3664,0.0768,0.0,0.0,0.0528,0.136,0.0304,0.0,0.0,0.0,0.0,0.0416,0.1776,0.0,0.0208,0.0624,0.136,0.0,0.0128,0.2352,0.2592,0.1232,0.3728,0.312,0.0,0.0,0.0624,0.3808,0.7664,1.9152,3.1984,3.7104,2.504,0.5888,0.0256,0.032,0.16,0.0272,0.0,0.1328,0.0864,0.0,0.2048,0.2336,0.0,0.12,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.1552,0.7168,0.7216,0.2256,0.2768,0.0928,0.1152,0.0704,0.0336,0.0,0.0544,0.1408,0.2384,0.1584,0.1552,0.2496,0.2784,0.3136,0.1168,0.048,0.0,0.0624,0.152,0.0048,0.0
80.0,0.0176,0.1904,0.0112,0.0,0.0,0.0,0.0416,0.3712,0.368,0.096,0.0,0.0096,0.2464,0.5584,0.1872,0.0768,0.0176,0.12,0.0992,0.0976,0.0464,0.064,0.056,0.1696,0.0048,0.0,0.0304,0.24,0.4288,0.6288,0.5968,0.048,0.0,0.0688,0.1248,0.0256,0.0864,0.0656,0.0496,0.048,0.0848,0.1024,0.0016,0.0,0.0,0.0496,0.3408,1.8256,1.9088,2.3664,2.352,1.9872,1.8208,0.4352,0.0656,0.0,0.0,0.0,0.1456,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768,0.4576,0.4816,0.0624,0.0176,0.0,0.0,0.016,0.2544,0.1632,0.072,0.1488,0.1824,0.04,0.04,0.1568,0.0448,0.1392,0.0576,0.0,0.0,0.0,0.0512,0.1632,0.0048,0.0224,0.112,0.232,0.072,0.0
90.0,0.2544,0.176,0.008,0.0,0.0,0.0,0.0,0.1056,0.1136,0.0272,0.0832,0.1296,0.1968,0.016,0.1904,0.224,0.0096,0.0,0.008,0.16,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.2096,0.0,0.16,0.1904,0.2688,0.0384,0.0,0.0,0.1984,0.6864,0.5328,0.2464,0.0896,0.0,0.0,0.0064,0.0576,0.3152,1.2512,2.2992,2.4816,2.984,2.032,0.9552,0.3152,0.0688,0.1616,0.0048,0.0512,0.168,0.0,0.0,0.0,0.032,0.1536,0.104,0.3088,0.0848,0.2064,0.2848,0.1408,0.0,0.1968,0.1648,0.2704,0.168,0.0752,0.0336,0.1536,0.2816,0.0864,0.2304,0.0928,0.0,0.0,0.0848,0.1296,0.0048,0.0,0.0064,0.1392,0.1056,0.1632,0.2848,0.24,0.1056,0.0512,0.0,0.0,0.0,0.0
