time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.1632,0.2416,0.0336,0.0,0.0,0.0592,0.1264,0.0336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.1104,0.08,0.0048,0.0,0.0,0.1184,0.1088,0.1328,0.0768,0.0768,0.1088,0.0352,0.0,0.0,0.0864,0.1328,0.0,0.1504,0.1792,0.2272,0.224,0.096,0.0,0.0752,0.1584,0.104,0.1488,0.1056,0.2928,0.6288,2.7184,4.7872,4.1664,2.7104,0.8096,0.1232,0.0544,0.04,0.192,0.2016,0.0,0.0,0.0,0.0,0.0,0.0752,0.168,0.168,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752,0.3808,0.0016,0.0,0.0064,0.0224,0.1136,0.0768,0.0,0.0,0.0,0.1008,0.1184,0.0,0.0,0.0288,0.1152,0.1344,0.16,0.0,0.0
10.0,0.0,0.0,0.0,0.136,0.2992,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408,0.088,0.0768,0.112,0.0208,0.0,0.0,0.0,0.0,0.0896,0.104,0.0416,0.1088,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.144,0.096,0.2256,0.0288,0.2368,0.0544,0.0656,0.0,0.0,0.0,0.0128,0.24,1.3424,3.6048,4.0336,2.9984,2.7312,2.0064,0.3184,0.0288,0.0032,0.1456,0.0688,0.0016,0.0,0.0,0.0,0.0,0.0,0.2192,0.296,0.1424,0.0,0.048,0.0544,0.0512,0.0784,0.1856,0.0448,0.1936,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.1248,0.0736,0.0,0.0,0.0,0.0,0.0464,0.3952,0.216,0.0,0.0
20.0,0.0,0.0,0.032,0.184,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104,0.0864,0.0224,0.0,0.0096,0.1616,0.048,0.0,0.0,0.0368,0.1824,0.0,0.0,0.0,0.0,0.0944,0.1072,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.16,0.0528,0.0912,0.3488,1.0224,2.6784,4.2,5.0448,3.4032,0.8512,0.0928,0.0784,0.128,0.0112,0.1232,0.2608,0.0416,0.1216,0.0992,0.0,0.0,0.0,0.0,0.1184,0.192,0.1168,0.0816,0.3056,0.0912,0.1808,0.0096,0.0,0.0,0.0,0.0,0.1376,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.1904,0.1792,0.0,0.0,0.0,0.0,0.1872,0.032
30.0,0.0,0.176,0.0432,0.0,0.0,0.0416,0.064,0.1776,0.136,0.0192,0.0,0.0,0.0,0.0,0.0,0.0416,0.12,0.0464,0.0112,0.0,0.0544,0.1152,0.0496,0.0,0.0,0.0032,0.1248,0.0672,0.0624,0.0736,0.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,0.1408,0.0,0.0,0.0,0.4384,2.8064,5.2064,5.8624,2.5888,0.4064,0.008,0.0688,0.2464,0.1232,0.0496,0.0816,0.1744,0.0912,0.0448,0.152,0.064,0.0,0.0,0.0,0.0048,0.0736,0.1376,0.0032,0.0496,0.1696,0.0,0.0,0.056,0.1216,0.0416,0.0144,0.184,0.0208,0.0,0.0,0.008,0.088,0.1232,0.0,0.0,0.0416,0.0784,0.0896,0.0912,0.2176,0.0704,0.0688,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392,0.08,0.0,0.0,0.0,0.0,0.0,0.1152,0.104,0.0,0.0,0.0,0.1312,0.3008,0.0064,0.1008,0.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.0608,0.1104,0.1232,0.0944,0.0,0.0176,0.1904,0.0112,0.1472,0.1632,0.1248,0.0032,0.0608,0.1728,0.1728,0.7728,3.0272,4.6336,4.2464,2.9104,0.9504,0.152,0.1664,0.048,0.0032,0.0,0.0,0.0,0.0336,0.1552,0.0304,0.0,0.0,0.0,0.0,0.0,0.1968,0.2352,0.0064,0.0,0.1856,0.2352,0.2832,0.1472,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.024,0.1168,0.2464,0.0096,0.0,0.0,0.0048,0.2192,0.1632,0.0512
50.0,0.0,0.0,0.0,0.0048,0.072,0.1424,0.032,0.1872,0.0,0.0,0.0,0.0,0.0368,0.1808,0.0032,0.2096,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.056,0.1008,0.1248,0.1456,0.0,0.1472,0.144,0.4624,0.3312,0.0112,0.0,0.0704,0.1488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.2912,0.312,2.7424,5.6112,4.9856,2.512,0.5488,0.0576,0.0096,0.0608,0.1568,0.2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.1984,0.1312,0.0768,0.0,0.0,0.032,0.1648,0.0224,0.0,0.0,0.0,0.0,0.0288,0.12,0.048,0.0224,0.0,0.0,0.0,0.0,0.0272,0.1584,0.0576,0.1504,0.0448,0.0048,0.1856,0.1488,0.0992,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0272,0.192,0.136,0.0656,0.0176,0.0,0.0864,0.1232,0.0096,0.04,0.1984,0.1728,0.096,0.0624,0.0656,0.0224,0.0,0.0,0.0,0.168,0.0512,0.0064,0.0816,0.1184,0.0128,0.0,0.0,0.0,0.0,0.0,0.1072,0.112,0.0,0.008,0.1792,0.1568,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.6432,2.9776,5.1824,4.616,2.4448,0.8944,0.096,0.0144,0.0576,0.152,0.0096,0.0,0.0784,0.136,0.0384,0.1232,0.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.0576,0.1056,0.3536,0.0976,0.008,0.0,0.0,0.1632,0.2176,0.1904,0.1712,0.1328,0.0016,0.0,0.0,0.0,0.0208,0.1984
70.0,0.0224,0.1488,0.048,0.0,0.0,0.0496,0.12,0.0464,0.0032,0.0,0.056,0.1328,0.0304,0.0144,0.1776,0.1552,0.184,0.2704,0.272,0.0224,0.0,0.0,0.0,0.0,0.0128,0.1072,0.0992,0.0,0.0,0.0,0.0,0.0,0.0784,0.3616,0.208,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192,0.3088,0.8192,2.48,3.984,3.8992,2.5168,0.8016,0.096,0.0128,0.0928,0.3216,0.1536,0.5072,0.008,0.0,0.0,0.0,0.0,0.2752,0.1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0848,0.1184,0.0928,0.4032,0.1584,0.0784,0.128,0.0304,0.0,0.0944,0.4016,0.144,0.1248,0.1008,0.0112,0.0,0.0,0.0,0.112,0.1408,0.1776,0.008,0.0,0.0,0.0352,0.184
80.0,0.0,0.0176,0.1232,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0992,0.1744,0.0864,0.0496,0.0,0.088,0.1248,0.0064,0.104,0.0832,0.0496,0.224,0.1968,0.0,0.0,0.1888,0.2256,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0944,0.1232,0.0,0.0208,0.3376,2.8208,4.4608,4.2144,2.4576,0.6352,0.1776,0.0,0.0608,0.1776,0.2,0.0,0.048,0.0976,0.0736,0.0416,0.176,0.0208,0.1584,0.0416,0.0768,0.168,0.1424,0.0512,0.168,0.0704,0.192,0.0784,0.1488,0.0,0.1072,0.2992,0.032,0.0,0.0,0.0128,0.0512,0.1248,0.2496,0.0192,0.2496,0.2192,0.208,0.36,0.0336,0.0128,0.0848,0.0912,0.0368,0.0608,0.1344,0.024,0.0
90.0,0.0,0.0,0.0112,0.056,0.128,0.024,0.0,0.0,0.0,0.0,0.0288,0.1824,0.008,0.0,0.0128,0.1808,0.3296,0.3024,0.0512,0.0112,0.2672,0.184,0.3184,0.096,0.0,0.0224,0.136,0.0592,0.0016,0.0,0.0,0.0,0.0432,0.1584,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624,0.7504,2.8848,4.432,3.632,2.0592,0.8608,0.376,0.0672,0.1616,0.0576,0.0336,0.1776,0.1424,0.0848,0.0,0.0,0.0,0.0032,0.1984,0.6816,0.2128,0.0,0.0,0.128,0.256,0.0544,0.0,0.144,0.2704,0.024,0.1056,0.3232,0.0096,0.0,0.0,0.0,0.0,0.1856,0.0832,0.1584,0.0112,0.0,0.0,0.0528,0.1664,0.0432,0.2064,0.136,0.0464,0.0064,0.0,0.0,0.0
