time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.2192,0.0384,0.4048,0.1264,0.088,0.0,0.0304,0.1696,0.0192,0.0,0.0672,0.0656,0.08,0.0208,0.1888,0.016,0.0,0.0,0.0,0.1312,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.1968,0.0144,0.0,0.0512,0.864,3.7216,4.7152,4.0288,2.7488,1.5152,0.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.096,0.1984,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592,0.0672,0.0928,0.0,0.0,0.0,0.0,0.3008,0.2864,0.2896,0.0,0.0,0.0,0.0,0.0,0.1312,0.088,0.048,0.16,0.0192,0.064,0.1152,0.032,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.2096,0.0144,0.1024,0.0416,0.0464,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.192,0.0256,0.016,0.1136,0.08,0.0608,0.168,0.0,0.0144,0.1248,0.072,0.0288,0.0688,0.1264,0.0032,0.1792,0.04,0.0,0.0,0.0,0.0,0.0,0.0416,0.2464,0.2672,0.1472,0.7504,2.992,4.8688,4.7232,2.8944,0.6928,0.1312,0.0,0.0,0.0,0.0,0.0192,0.2496,0.1552,0.0144,0.0,0.0,0.008,0.1952,0.3392,0.1152,0.0,0.0,0.0496,0.1344,0.1632,0.096,0.1152,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.1504,0.0288,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.1808,0.032,0.1072,0.08,0.0064
20.0,0.0,0.0,0.0,0.0,0.0672,0.1456,0.0064,0.0832,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0352,0.1152,0.3248,0.2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.1152,0.0288,0.1232,0.0704,0.0256,0.0,0.0,0.0,0.1072,0.128,0.2096,1.4656,3.5664,4.352,3.0496,2.8192,1.8976,0.3584,0.0208,0.0,0.0,0.032,0.168,0.0192,0.0,0.0,0.0432,0.1184,0.0576,0.0672,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592,0.272,0.104,0.0032,0.0256,0.0544,0.0672,0.0848,0.1744,0.08,0.1184,0.0528,0.0912,0.072,0.0256,0.2,0.0496,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1632,0.1232,0.0224,0.1072,0.0032,0.0,0.0,0.0,0.0,0.0,0.0496,0.1984,0.1344,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1424,0.1808,0.0352,0.2064,0.0128,0.0112,0.1968,0.1952,0.0352,0.0,0.0464,0.1728,0.0,0.0032,0.2224,1.5136,3.016,3.9536,4.1488,3.0432,1.384,0.2512,0.0016,0.2096,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.0352,0.0928,0.0224,0.0,0.0,0.0,0.128,0.0912,0.0,0.0,0.0,0.0768,0.1424,0.0,0.0,0.064,0.104,0.0512,0.0704,0.04,0.1008,0.008,0.0,0.0768,0.272,0.0896,0.0,0.1024,0.1168,0.0,0.1456,0.0704,0.0032
40.0,0.0,0.0,0.0,0.0272,0.0784,0.104,0.0096,0.0,0.0,0.0,0.0,0.0,0.072,0.1008,0.0464,0.0,0.0,0.0,0.0064,0.0928,0.0528,0.0672,0.0032,0.1552,0.2544,0.0256,0.0,0.0,0.1232,0.392,0.1088,0.0336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.1328,0.6512,3.0336,5.136,5.3104,3.1328,0.5312,0.0048,0.0,0.1184,0.096,0.0048,0.0016,0.136,0.0816,0.104,0.2544,0.2416,0.1472,0.1168,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.0976,0.072,0.0048,0.0,0.0,0.0368,0.1472,0.0352,0.0096,0.1696,0.04,0.0,0.0,0.0,0.0,0.0064,0.0912,0.1056,0.016,0.0,0.0
50.0,0.0,0.0,0.0,0.024,0.1312,0.064,0.0,0.0,0.0048,0.0352,0.0464,0.1072,0.208,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.1488,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.1424,0.0288,0.0,0.0016,0.1504,0.0672,0.4016,3.2448,5.7744,4.984,3.2816,0.5024,0.0048,0.0,0.0,0.0,0.0,0.0784,0.1408,0.0,0.0,0.0,0.0,0.0,0.0096,0.128,0.0816,0.0,0.0656,0.1536,0.0,0.0,0.0,0.0,0.0192,0.1392,0.2608,0.0192,0.1344,0.0848,0.0,0.0,0.0,0.0608,0.1088,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.1824,0.032,0.136,0.3232,0.1984
60.0,0.2672,0.12,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0704,0.0624,0.1792,0.0688,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.2032,0.2112,0.1824,0.0576,0.0016,0.0,0.0288,0.136,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.448,3.4224,5.5136,5.1696,3.2048,0.768,0.1744,0.1072,0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.2624,0.352,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056,0.1616,0.1056,0.0496,0.016,0.0,0.0,0.0,0.0096,0.0448,0.0848,0.0752,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,0.1568,0.04,0.0,0.0,0.0,0.0,0.0,0.0208,0.096,0.0976,0.0736,0.112,0.0352,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1776,0.0224,0.0,0.0,0.0,0.0,0.0672,0.3216,0.0496,0.0032,0.0224,0.3952,2.5152,6.4784,6.1728,3.0672,0.1904,0.032,0.1904,0.1216,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.1296,0.0544,0.1312,0.288,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,0.0928,0.1136,0.0928,0.1216
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.1824,0.0016,0.0,0.0,0.0,0.0,0.0,0.1904,0.0288,0.0,0.0,0.0,0.008,0.0272,0.0448,0.2352,0.1232,0.016,0.1376,0.0656,0.0,0.0,0.0,0.0016,0.1968,0.0208,0.0,0.0,0.1072,0.096,0.0848,0.1648,0.7824,3.0128,5.5024,5.1888,2.984,0.9056,0.0224,0.2048,0.0144,0.0,0.0,0.0768,0.072,0.0704,0.056,0.112,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.1376,0.032,0.0,0.0832,0.2544,0.136,0.1776,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.136,0.0816,0.0
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.1312,0.0064,0.0224,0.0624,0.2544,0.1936,0.0976,0.0368,0.5648,2.8528,6.0464,5.7712,3.0976,0.4992,0.0032,0.0,0.0,0.0,0.0,0.256,0.256,0.128,0.0176,0.0,0.0,0.0096,0.0384,0.1392,0.032,0.0224,0.0496,0.0832,0.0592,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.1328,0.0112,0.0,0.0,0.0,0.0,0.0,0.0192,0.1936,0.0176,0.1584,0.0496,0.0,0.0,0.0,0.0,0.0032,0.1248,0.256,0.0544
