time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.0,0.0,0.0,0.0288,0.6656,0.7872,0.0528,0.112,0.2448,0.144,0.1152,0.1072,0.1536,0.04,0.1536,0.0256,0.024,0.2224,0.4208,0.8032,1.1872,1.1008,0.9984,0.5264,0.256,0.2464,0.1232,0.0928,0.3136,0.5824,0.5232,0.5504,0.112,0.1072,0.1808,0.0656,0.2368,0.296,0.464,0.9008,0.8864,0.592,0.3488,0.2768,0.056,0.0752,0.4672,1.064,1.3792,1.8112,1.2352,0.4976,0.0464,0.0,0.0,0.0,0.0,0.0,0.032,0.112,0.0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.1424,0.0768,0.0,0.0592,0.16,0.0,0.0,0.0768,0.1088,0.0336,0.0,0.0,0.0,0.0,0.0048,0.2512,0.1856,0.1056,0.1104,0.0,0.112,0.2512,0.744,1.576,0.7232,0.4128,0.1264,0.0624,0.128,0.0288,0.2512,1.3792,1.56,1.1072,0.272,0.0704,0.2192,0.1584,0.0816,0.2192,0.0896,0.0912,0.648,1.032,1.5808,2.2352,1.2896,0.2096,0.0,0.0,0.0,0.08,0.1392,0.0,0.0,0.0,0.0704,0.0944,0.0544,0.0,0.0016,0.1328,0.0848,0.0,0.0,0.0,0.0576,0.3664,0.1696,0.0672,0.1248,0.1408,0.1888,0.192,0.008,0.0896,0.1216,0.008,0.0,0.0,0.0,0.0,0.0336,0.1584,0.0272,0.0112,0.0752,0.6096,0.5152,0.104,0.0,0.0,0.0608,0.1408,0.0176
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0896,0.3312,1.4096,1.4176,1.248,0.3072,0.3056,0.5408,1.2208,0.7584,0.5728,0.3664,0.088,0.2992,0.112,0.1536,0.1696,0.0064,0.0144,0.4208,1.1088,1.4304,1.3056,1.3328,0.2304,0.0576,0.0176,0.0,0.0,0.0,0.0,0.0,0.0592,0.1536,0.0064,0.2304,0.3376,0.0896,0.0,0.0,0.1264,0.0928,0.0,0.0,0.056,0.1632,0.0,0.0,0.0176,0.1472,0.208,0.0656,0.0576,0.1616,0.0,0.0,0.0,0.0,0.096,0.288,0.5632,0.4928,0.1536,0.704,0.7296,0.5776,0.304,0.1056,0.1904,0.1696,0.0224,0.2064
30.0,0.0416,0.1344,0.0432,0.0256,0.1472,0.0464,0.256,0.1824,0.0,0.0,0.0,0.0,0.1536,0.064,0.0016,0.0,0.0,0.0912,0.3872,0.9088,1.296,1.0272,0.2352,0.1232,0.0912,0.0048,0.0,0.0,0.0,0.0448,0.1904,0.2864,0.16,0.7408,2.0784,1.4656,0.4128,0.1008,0.0928,0.1184,0.1728,0.0544,0.0,0.0,0.0,0.0208,0.1936,0.2944,1.1296,1.624,1.7152,1.1424,0.2368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,0.0912,0.0816,0.0,0.0,0.0,0.0,0.0112,0.2016,0.1712,0.0704,0.0912,0.1104,0.0016,0.0,0.0592,0.152,0.008,0.0,0.0,0.0,0.0,0.0,0.0864,0.1328,0.0,0.0352,0.6224,0.96,0.7008,0.312,0.0,0.0,0.0864,0.1888,0.1632
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.1488,0.0624,0.0064,0.0,0.0784,0.3472,0.2128,0.1776,0.8352,1.2688,1.6208,1.072,0.4832,0.0416,0.0,0.0,0.0272,0.1712,0.0208,0.0,0.0,0.0,0.0112,0.1952,0.1504,0.1344,0.3408,0.3776,1.3488,1.7184,0.648,0.1216,0.0576,0.1168,0.08,0.1568,0.04,0.0992,0.1904,0.248,0.9136,2.0528,1.9392,1.016,0.0992,0.0,0.0,0.0,0.0,0.0144,0.1712,0.0336,0.0,0.0608,0.1248,0.0336,0.0,0.0144,0.1344,0.0704,0.0,0.0,0.0,0.0448,0.344,0.6512,0.2304,0.0288,0.016,0.1232,0.192,0.1024,0.0208,0.0016,0.112,0.0976,0.008,0.0,0.0,0.0,0.0,0.0,0.0272,0.0448,0.2832,0.0832,0.032,0.0816,0.0992,0.0064,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.1936,0.2224,0.0224,0.0544,0.0928,0.08,0.1744,0.0288,0.0,0.016,0.2128,0.7264,0.5792,0.6288,0.8992,0.8832,0.3568,0.2384,0.0624,0.0,0.0368,0.2928,0.1088,0.0,0.056,0.1872,0.0832,0.264,1.1696,1.6144,1.0112,0.1008,0.1168,0.0,0.0,0.0,0.0896,0.5248,0.1952,1.0752,2.832,2.0576,0.8208,0.2848,0.1712,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216,0.0976,0.0,0.0,0.064,0.1936,0.4928,0.3408,0.0048,0.088,0.1088,0.0224,0.0,0.0352,0.184,0.008,0.1952,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.1296,0.0,0.0,0.0,0.1216,0.0976,0.0464,0.296,0.0752,0.0208,0.0256,0.4128
60.0,0.0016,0.0768,0.0912,0.1568,0.224,0.1536,0.1728,0.0,0.0,0.0,0.056,0.1584,0.0736,0.1648,0.1024,0.088,0.0144,0.0,0.0,0.0,0.0,0.0,0.0208,0.1696,0.2224,0.0256,0.0064,0.4208,1.5712,1.3312,0.9232,0.1472,0.1536,0.0496,0.0,0.0,0.0,0.0,0.0416,0.4304,1.5008,0.968,0.7952,0.5152,0.1328,0.0,0.0224,0.3424,1.4064,1.7008,1.8064,1.4608,0.2736,0.1488,0.072,0.0,0.0768,0.1856,0.3168,0.0784,0.0,0.1664,0.1872,0.2256,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.1632,0.0224,0.1392,0.1632,0.176,0.1776,0.2208,0.0,0.0528,0.2256,0.3216,0.3936,0.1024,0.0,0.0,0.0,0.0,0.0,0.0896,0.1168,0.0128,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.168,0.0512,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0832,0.1792,0.1728,0.0,0.3328,0.4208,0.3104,0.0656,0.1936,0.1936,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1472,0.0656,0.2064,0.0,0.2224,0.2544,0.736,0.9904,1.096,0.5728,0.0736,0.1296,0.0896,0.0,0.048,0.1536,0.0176,0.096,0.5536,1.216,1.416,1.9296,2.712,2.1136,0.8736,0.2192,0.1072,0.2816,0.2176,0.0912,0.0096,0.0816,0.1168,0.0208,0.0,0.0,0.0,0.0,0.0,0.064,0.128,0.1312,0.1152,0.168,0.0512,0.0,0.0,0.0,0.0,0.1376,0.0832,0.0928,0.1472,0.08,0.1504,0.1792,0.0496,0.0768,0.2016,0.1168,0.0704,0.104,0.0448,0.0,0.0848,0.1344,0.0,0.0336,0.1984,0.1408,0.0656,0.0
80.0,0.0,0.0,0.0,0.0,0.0368,0.1488,0.0336,0.0784,0.1408,0.0,0.0,0.1776,0.248,0.1216,0.0592,0.0512,0.0,0.168,0.0512,0.0,0.0,0.0,0.1104,0.1088,0.0016,0.0928,0.064,0.0608,0.0096,0.144,0.072,0.24,0.6912,0.9696,0.5712,0.4688,0.3344,0.1984,0.0272,0.0,0.0,0.0,0.0016,0.1968,0.2176,0.0448,0.4384,0.9376,1.3232,2.9184,4.2976,1.8832,0.448,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.176,0.216,0.0224,0.0,0.0,0.0,0.0,0.008,0.1936,0.1728,0.184,0.0992,0.0,0.0,0.0,0.0,0.0784,0.0736,0.1568,0.192,0.1568,0.0,0.0,0.0,0.1184,0.3424,0.1552,0.0688,0.3904,0.1712,0.1264,0.072,0.176,0.1424,0.2096
90.0,0.264,0.3008,0.1072,0.2656,0.0912,0.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392,0.0784,0.0016,0.2032,0.2016,0.4384,0.3344,0.1376,0.0,0.0064,0.1472,0.4528,0.4816,0.1264,0.0848,0.0176,0.064,0.2032,0.104,0.2816,0.3504,0.0912,0.008,0.3568,1.0352,0.3296,0.024,0.0,0.0,0.0,0.0,0.0,0.0224,0.6816,1.7312,3.3104,3.3552,2.1168,0.4,0.0,0.0048,0.088,0.2176,0.128,0.0432,0.0896,0.0864,0.0,0.0448,0.176,0.16,0.1264,0.0832,0.0352,0.032,0.2112,0.1248,0.0592,0.04,0.0032,0.024,0.0224,0.1776,0.1936,0.0208,0.0,0.0,0.0,0.0,0.0464,0.1936,0.128,0.048,0.12,0.1216,0.0,0.0,0.0,0.0336,0.2192,0.2592,0.1456,0.0,0.0,0.0,0.0
