time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.104,0.0816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.1904,0.1696,0.0736,0.0,0.0624,0.1568,0.0,0.0,0.0,0.0,0.0,0.0416,0.3056,0.0896,0.0016,0.136,0.232,0.0704,0.0704,0.1488,0.08,1.5216,3.6912,5.0176,3.9728,3.1216,1.8944,0.2096,0.0,0.0,0.0,0.0,0.0464,0.1632,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0768,0.0464,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1024,0.1024,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296,0.0896,0.184,0.0352,0.0,0.0,0.0,0.0,0.0304,0.2144,0.1936,0.0,0.0304,0.1536,0.0352,0.016,0.4496,0.9952,2.9184,5.5136,5.1616,2.4096,1.352,0.4736,0.1408,0.3008,0.1936,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056,0.1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176,0.2016,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0992,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.1376,0.4624,0.2608,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.128,0.0736,0.1024,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.784,3.4304,5.544,5.4752,3.6688,0.5744,0.0224,0.0,0.0032,0.2096,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0832,0.1104,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.128,0.0528,0.0192,0.0,0.0,0.0,0.0672,0.152,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0416,0.2576,0.1168,0.0224,0.0,0.0,0.0,0.1104,0.1088,0.0,0.0,0.0,0.0448,0.2384,0.1344,0.0208,0.0176,0.1872,0.0144,0.0,0.0,0.0,0.0,0.0336,0.32,0.0768,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592,0.8944,3.2496,5.4576,5.8256,3.0352,0.9152,0.0736,0.2144,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.1712,0.0032,0.0464,0.1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0752,0.3152,0.184,0.0768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,3.264,6.2496,5.7952,3.2768,0.584,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1312,0.0864,0.0016,0.0,0.0,0.0,0.0,0.0,0.2832,0.1552,0.0,0.0,0.0,0.0736,0.1456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.1232
50.0,0.0,0.0,0.048,0.1568,0.0144,0.0496,0.16,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.192,0.176,0.0,0.0,0.0,0.0,0.0,0.0624,0.1712,0.4848,3.256,6.0592,6.1728,2.7504,0.7328,0.0384,0.0,0.0,0.0,0.0,0.1072,0.112,0.0,0.0,0.0,0.0,0.0,0.056,0.0624,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.072,0.136,0.0,0.0,0.0,0.032,0.3264,0.08,0.0,0.0,0.0,0.0,0.0
60.0,0.3312,0.104,0.0032,0.0,0.0432,0.1712,0.0048,0.0,0.0384,0.1136,0.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,0.2448,0.1024,0.0,0.0,0.0,0.0,0.0128,0.0896,0.136,0.0688,0.0384,0.0528,0.04,0.0,0.0,0.0848,0.1344,0.0816,0.1072,0.1456,0.2176,1.0368,3.4,4.88,4.928,3.272,1.1856,0.1312,0.1184,0.0048,0.0,0.0,0.0,0.12,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608,0.1024,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,0.1152,0.0272,0.0304,0.0,0.0,0.0,0.1552,0.064,0.0,0.1488,0.2432,0.0464,0.0,0.0,0.0,0.016,0.1872,0.1088,0.1264,0.0,0.184,0.0352,0.0528,0.1344,0.048,0.0576,0.1248,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.184,1.36,3.6144,4.1584,4.7664,3.416,1.248,0.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0752,0.0,0.0,0.0,0.0,0.1776,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.0496,0.0816,0.0192,0.016,0.0704,0.1328,0.0,0.032,0.1264,0.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0016,0.1136,0.0272,0.0768,0.0,0.0,0.016,0.1504,0.0528,0.0,0.0,0.0,0.0,0.0192,0.1296,0.2768,0.0128,0.0,0.0544,0.1824,0.3792,0.0416,0.0112,0.112,0.1536,0.3328,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0912,0.1232,0.0,0.0,0.0,0.0,0.0,0.0976,0.7072,2.8,5.4656,5.5056,2.9088,0.6624,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0352,0.0592,0.2016,0.1152,0.0816,0.1024,0.0576,0.0048,0.0,0.0,0.0,0.0288,0.1776,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0816,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,0.1616,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.1808,0.2176,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528,0.0608,0.1056,0.0,0.0,0.0,0.008,0.1568,0.2656,0.2224,0.1072,0.2192,0.2944,0.0416,0.0,0.0,0.0048,0.144,0.0704,0.0,0.0224,0.0528,0.0528,0.2976,0.232,0.0336,0.1056,0.0432,0.0368,0.0,0.0,0.1792,0.6416,2.9584,4.896,4.7328,3.1216,0.8752,0.1312,0.0,0.0,0.0,0.0,0.0,0.1152,0.104,0.0,0.0016,0.1424,0.0768,0.1216,0.096,0.016,0.2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1408,0.0384,0.0,0.0,0.0,0.0,0.0,0.0016,0.216,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
