time_ns,z_1.500_nm,z_4.500_nm,z_7.500_nm,z_10.500_nm,z_13.500_nm,z_16.500_nm,z_19.500_nm,z_22.500_nm,z_25.500_nm,z_28.500_nm,z_31.500_nm,z_34.500_nm,z_37.500_nm,z_40.500_nm,z_43.500_nm,z_46.500_nm,z_49.500_nm,z_52.500_nm,z_55.500_nm,z_58.500_nm,z_61.500_nm,z_64.500_nm,z_67.500_nm,z_70.500_nm,z_73.500_nm,z_76.500_nm,z_79.500_nm,z_82.500_nm,z_85.500_nm,z_88.500_nm,z_91.500_nm,z_94.500_nm,z_97.500_nm,z_100.500_nm,z_103.500_nm,z_106.500_nm,z_109.500_nm,z_112.500_nm,z_115.500_nm,z_118.500_nm,z_121.500_nm,z_124.500_nm,z_127.500_nm,z_130.500_nm,z_133.500_nm,z_136.500_nm,z_139.500_nm,z_142.500_nm,z_145.500_nm,z_148.500_nm,z_151.500_nm,z_154.500_nm,z_157.500_nm,z_160.500_nm,z_163.500_nm,z_166.500_nm,z_169.500_nm,z_172.500_nm,z_175.500_nm,z_178.500_nm,z_181.500_nm,z_184.500_nm,z_187.500_nm,z_190.500_nm,z_193.500_nm,z_196.500_nm,z_199.500_nm,z_202.500_nm,z_205.500_nm,z_208.500_nm,z_211.500_nm,z_214.500_nm,z_217.500_nm,z_220.500_nm,z_223.500_nm,z_226.500_nm,z_229.500_nm,z_232.500_nm,z_235.500_nm,z_238.500_nm,z_241.500_nm,z_244.500_nm,z_247.500_nm,z_250.500_nm,z_253.500_nm,z_256.500_nm,z_259.500_nm,z_262.500_nm,z_265.500_nm,z_268.500_nm,z_271.500_nm,z_274.500_nm,z_277.500_nm,z_280.500_nm,z_283.500_nm,z_286.500_nm,z_289.500_nm,z_292.500_nm,z_295.500_nm,z_298.500_nm
0.0,0.0,0.1216,0.0976,0.0,0.0,0.0,0.0,0.0,0.048,0.0656,0.1056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1872,0.2224,0.176,0.1152,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.9248,3.304,5.216,5.3568,3.184,0.9936,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.48,0.2192,0.1312,0.0016,0.0,0.0,0.0544,0.1488,0.016,0.0,0.0,0.0,0.0,0.0,0.1552,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824,0.0368,0.0064,0.1488,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.128,0.0912,0.1504,0.1136,0.2672,0.112,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.1392,1.216,3.1376,5.1568,5.4096,2.9952,1.312,0.1264,0.0,0.0,0.1056,0.1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.3152,0.0544,0.0,0.0,0.0176,0.112,0.0896,0.0,0.0,0.0464,0.1664,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.168,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.056,0.112,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432,0.1696,0.0064,0.0576,0.7056,3.5888,5.944,5.3424,2.8912,0.92,0.2784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256,0.1744,0.0912,0.1728,0.144,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928,0.112,0.0144,0.0,0.0,0.0,0.2192,0.0,0.0,0.0,0.0,0.064,0.1328,0.1472,0.0592,0.0352,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0512,0.0,0.048,0.136,0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.1376,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.1888,0.0016,0.0,0.0,0.0,0.0,0.0208,0.0576,0.4928,3.7008,5.7136,5.3136,3.4032,0.7264,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.1168,0.1024,0.0,0.0,0.0,0.1488,0.0704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.1264,0.0912,0.0,0.104,0.112,0.0096,0.1952,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928,0.2944,0.0512,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848,0.2224,0.1008,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.7056,3.7696,5.0416,5.2576,3.544,0.9728,0.3424,0.0064,0.0,0.0,0.0,0.0,0.1312,0.088,0.0,0.0,0.0,0.0,0.0,0.024,0.1904,0.0048,0.0,0.0,0.0,0.0336,0.1664,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0528,0.1392,0.0592,0.3104,0.0912,0.0048,0.0,0.0,0.0,0.0,0.0,0.0016,0.096,0.1216,0.0,0.0,0.1392,0.0752,0.0048
50.0,0.2192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0928,0.0848,0.04,0.0,0.0,0.0064,0.2016,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176,3.9104,5.904,5.3584,3.2544,1.064,0.0576,0.0,0.0,0.0,0.0,0.0,0.0096,0.1584,0.0512,0.0,0.0,0.0,0.0,0.0224,0.1552,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.1488,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,0.08,0.048,0.0,0.104,0.0336,0.0672,0.0144,0.0,0.0,0.0
60.0,0.0,0.016,0.088,0.1152,0.0,0.0,0.0,0.0352,0.0432,0.0928,0.0416,0.0064,0.0512,0.328,0.0592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.1856,0.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944,0.728,3.1552,6.256,5.7792,3.3312,0.8192,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.1728,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.1104,0.0048,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0,0.0,0.0304,0.2928,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0864,0.1328,0.048,0.1504,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.1488,0.0704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.2624,0.9424,3.176,5.496,6.0864,3.304,0.7968,0.0384,0.0,0.0,0.0,0.0,0.0448,0.1712,0.016,0.2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,0.1296,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.192,0.1232,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.1104,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816,1.2928,3.1984,5.288,5.9312,3.6304,0.9024,0.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664,0.0528,0.0,0.0,0.1216,0.3968,0.1264,0.0128,0.0,0.0,0.0
90.0,0.0,0.0,0.0,0.1168,0.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528,0.336,0.0496,0.0,0.0,0.0736,0.1104,0.0352,0.0,0.0144,0.1696,0.0352,0.0,0.0,0.0,0.104,0.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.136,0.9424,3.1136,5.7328,5.4608,3.8896,0.5952,0.2064,0.0832,0.008,0.0512,0.1456,0.0144,0.0,0.0,0.0,0.0,0.0816,0.1328,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
