protein,has_slab,core1_nm,core2_nm,discard_frac,n_bins,dt_ns,box_x_nm,box_y_nm,box_z_nm,profile_csv,time_density_csv,zbin_csv
A1-LCD+7R+12D,True,138.18914413452148,160.84757308959962,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus12D_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus12D_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus12D_z_bins.csv
A1-LCD+7R+10D,True,139.0824571990967,161.65450248718264,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus10D_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus10D_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Rplus10D_z_bins.csv
A1-LCD-6R,True,140.0624285507202,162.72392482757567,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus6R_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus6R_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus6R_z_bins.csv
A1-LCD-12F+12Y,True,137.38150882720947,159.98755588531495,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus12Fplus12Y_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus12Fplus12Y_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus12Fplus12Y_z_bins.csv
A1-LCD-2K,True,138.17637687683106,160.62231864929197,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus2K_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus2K_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus2K_z_bins.csv
A1-LCD-NLS,True,138.47540687561036,161.31180152893066,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusNLS_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusNLS_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminusNLS_z_bins.csv
A1-LCD+NLS,True,137.69872851371764,160.31932948112487,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplusNLS_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplusNLS_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplusNLS_z_bins.csv
A1-LCD+8D,True,138.75627910614014,161.38997631073,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus8D_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus8D_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus8D_z_bins.csv
A1-LCD-10G+10S,True,139.51527843475344,162.2967710494995,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus10Gplus10S_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus10Gplus10S_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDminus10Gplus10S_z_bins.csv
A1-LCD+7F-7Y,True,137.06851520538328,159.88147998809814,0.0,100,10.0,25.0,25.0,300.0,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Fminus7Y_average_density_profile.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Fminus7Y_time_density_map.csv,/home/yumzhang/orcd/pool/work/4-idpcg/LLPS_A1_LCD_moff2//MOFF2_WG_0.15_293/density_plotted_data/A1minusLCDplus7Fminus7Y_z_bins.csv
