res_group_mapping,scale_hps,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta,final_loss
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_1.0_MDP_w_0.2_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,0.8,1.0,0.2,0.10435792075355557,0.07749326187883407,0.12088193631021839,0.11167719894710822,0.2219459794192233,0.16622548439806498,0.11284375912845077,-0.11295467479193805,0.7692587971687317
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.6_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,1.0,1.0,0.6,0.11002444268595016,0.10800596319627297,0.12556416258052608,0.15683759995944707,0.23938368984215988,0.18849658632908092,0.11677121179523799,-0.10060907545390278,1.5112730264663696
default,train_CL_ah_gau/results/group_default_IDP_w_1.0_OP_w_1.0_MDP_w_0.2_10_zeta_0.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,0.5,0.001,1.0,1.0,0.2,0.12423698899572096,0.13976400559689348,0.13340706642216132,0.21642408431756113,0.26305974673247445,0.21240647220610692,0.14284638152590098,-0.10601417832526391,0.7596625089645386
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.5_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.5,0.5,1.0,1.0,0.1676354752875103,0.24068695150545247,0.13425112819373927,0.19138028300043955,0.2886873646077247,0.22496319907862267,0.10750962147060834,-0.12382489726427504,2.8851888179779053
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_1.0_MDP_w_0.3_10_zeta_1.5_0.001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.001,0.8,1.0,0.3,0.10401933196764067,0.09831968094861425,0.12019147099183432,0.08379927435165256,0.1877695340728454,0.14291505816156913,0.1539693246486392,-0.22037513297713796,0.9799374341964722
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_2.0_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.0001,0.5,1.0,0.4,0.1134697077797527,0.11548516610342693,0.11336421102905278,0.12825134310512806,0.21131316015822588,0.16030649516951626,0.15507637613429628,-0.24223147972535172,1.115764617919922
default,train_CL_ah_gau/results/group_default_IDP_w_0.8_OP_w_1.0_MDP_w_0.3_10_zeta_1.5_0.0001_gauss_delta_mu_0.25_gauss_width_0.1,1.5,0.0001,0.8,1.0,0.3,0.10749464139841351,0.0970757742252291,0.13865421861174976,0.04328051820019593,0.22036009935801976,0.16023954966344017,0.10197039586198924,0.0294644352407724,0.9603848457336426
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_1.5_5e-05_gauss_delta_mu_0.25_gauss_width_0.1,1.5,5.0,0.5,1.0,0.4,0.11431266425392315,0.12517915030510177,0.11976844506684219,0.1528883797044385,0.23294479821462868,0.17182412174893974,0.16849757346311137,-0.1819541766893244,1.0967193841934204
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_1.0_10_zeta_1.0_0.1_gauss_delta_mu_0.25_gauss_width_0.1,1.0,0.1,0.5,1.0,1.0,0.14475623588183187,0.19273416052192274,0.13343974784051074,0.18067641313856925,0.29095717295016565,0.23188759165135903,0.10755272443678915,-0.04980747749963464,2.389390230178833
default,train_CL_ah_gau/results/group_default_IDP_w_0.0_OP_w_0.5_MDP_w_0.5_10_zeta_0.01_0.005_gauss_delta_mu_0.25_gauss_width_0.1,0.01,0.005,0.0,0.5,0.5,0.293332693952727,0.6220146500580307,0.10570657098928173,0.21377288330158736,0.4132556974689355,0.3863138811573231,0.09871543170890107,-0.021580448850126006,0.926123857498169
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_2.0_0.0005_gauss_delta_mu_0.25_gauss_width_0.1,2.0,0.0005,0.5,1.0,0.4,0.1124945295460084,0.11472633468822124,0.11626786069382973,0.11731106100992883,0.21511526203699555,0.16745531727567098,0.15088696927495127,-0.14076819800712287,1.1259961128234863
default,train_CL_ah_gau/results/group_default_IDP_w_0.5_OP_w_1.0_MDP_w_0.4_10_zeta_1.5_1e-05_gauss_delta_mu_0.25_gauss_width_0.1,1.5,1.0,0.5,1.0,0.4,0.12255279685971712,0.12912062624962464,0.18185438282552813,0.18500280061462168,0.22988570211301596,0.16508799559148662,0.1589784090692192,-0.2506751136536702,1.0943737030029297
