res_group_mapping,MJ_min,MJ_max,zeta1,zeta2,IDP_weight,OP_weight,MDP_weight,train_IDP_rRMSE,train_IDP_delta,test_IDP_rRMSE,test_IDP_delta,train_OP_rRMSE,train_OP_delta,train_MDP_rRMSE,train_MDP_delta
default,0.0,0.8,20.0,30.0,1.0,0.0,0.0,0.08848599478388366,0.07678781379820207,0.16312838603008162,0.20816939910102783,0.3702215817500433,0.33471421282961933,0.15612651385745416,-0.315422515570533
default,0.0,0.8,1.0,10.0,0.0,1.0,1.0,0.13372144764588018,0.14976619011929382,0.17545872449003874,0.3116283924798975,0.16799616435359704,0.09979971424186547,0.2657040117189207,-0.7751170033041256
default,0.0,0.8,40.0,50.0,0.25,0.5,0.25,0.10465516828746103,0.11352196041806852,0.19326605141968703,0.31722630100586025,0.3313144471925034,0.28792118005536865,0.19691209465064263,-0.4556185870916953
default,0.0,0.8,1.0,1.0,0.5,0.5,0.5,0.1000978907475303,0.10044056684601185,0.12828137059569758,0.105943325820191,0.16461760098621342,0.1138987477715796,0.25038093750205265,-0.726154486645178
default,0.0,0.8,5.0,5.0,0.0,0.0,1.0,0.12528430369149526,0.1631466342766008,0.14613832991248007,0.22437573696054317,0.35480503221942317,0.3143516700919792,0.14666103304687939,-0.3466120893954363
default,0.0,0.8,40.0,50.0,0.5,1.0,0.75,0.10293424947470933,0.11214133009525235,0.19143406312932493,0.3134209984320518,0.303538627309469,0.25113940150341174,0.21588356659569027,-0.5369849782978183
default,0.0,0.8,40.0,50.0,0.0,0.25,1.0,0.12611663942825224,0.16102854907206127,0.19145262116885597,0.3407257433887883,0.3626119693545521,0.32844020901663756,0.13048004611165545,-0.15495375655248617
default,0.0,0.8,40.0,50.0,0.0,0.0,0.2,0.15971320158660252,0.22470521578846264,0.2506211275016518,0.5104276876927648,0.4246142188591812,0.38727586252444424,0.16819400812660495,0.2623071024934824
default,0.0,0.8,5.0,10.0,0.0,0.0,1.0,0.12368426161242012,0.15906292485506932,0.15095655824188398,0.23651959135169884,0.36616594430337446,0.33055386137025394,0.12687910260781998,-0.2224888615786596
default,0.0,0.8,5.0,1.0,0.5,0.5,0.5,0.10676169046583861,0.1288289479968837,0.136093582262647,0.16271388825401514,0.20034029056147815,0.14002189180307356,0.23973086787558026,-0.6697015173079574
