name,Rg_exp,length,Rg_pre,Rg_pre_err,Rg_ess,Rg_ess_err
BPTI,1.036895,58,1.3598753253318936,,1.429506776955556,
Chignolin,0.545018,10,0.6144654403813028,,0.6073816388973822,
GB3,1.02643,56,1.4017181472111344,,1.406138242341079,
Hen-Egg-White-Lysozyme,1.384031,129,1.77733149420572,,1.7349585692873173,
Homeodomain,1.114283,52,1.6515910096463742,,1.500387103443183,
NTL9,1.368107,39,1.3533396817982113,,1.26996653447012,
Protein-B,0.987757,47,1.245621650325623,,1.2013892739958116,
Protein-G,1.101303,56,1.805635593146801,,1.81589505501373,
Trp-cage,0.854043,20,0.859626296247327,,0.8545016047312289,
Ubiquitin,1.126197,76,1.6560525041436933,,1.8802071296397396,
Villin,1.033957,35,1.1644162038510835,,1.1570100155337133,
WW-domain,0.974185,35,1.4412865065936677,,1.4482196361708548,
alpha3d,1.273745,73,1.604687312419263,,1.465373151055492,
bba,1.256018,28,1.0539738740474138,,1.0573779882236323,
bbl,1.477492,47,1.4254553512926467,,1.4161288179129858,
calmodulin,2.03698,147,2.768232202539581,,2.315924641003041,
engrailed,1.096449,56,1.4782596384928626,,1.2752721730049934,
gpw,1.22415,62,1.6657510066868846,,1.677293629540089,
lambda-repressor,1.219512,80,1.6111445675598708,,1.5579260274899744,
1soy_clean,1.317397,106,1.4196487685073245,,1.4161145968199762,
1wla_clean,1.503506,153,1.63123427496421,,1.6230656029908628,
2ea9_clean,1.291246,103,1.3583029979512469,,1.381140408376608,
5tvz_clean,1.42463,103,1.4577921624388104,,1.4689495305494433,
AF-P0C232-F1-model_v4_w_H,1.262544,100,1.329483643892577,,1.3278687148985866,
AF-P0CG98-F1-model_v4_w_H,1.559086,100,1.8124014058837963,,1.9578598892387662,
AF-P00251-F1-model_v4_w_H,1.237679,100,1.3376954218395931,,1.3474322244290986,
AF-P21149-F1-model_v4_w_H,1.370701,100,1.5399497857546907,,1.5008595265219025,
AF-P21318-F1-model_v4_w_H,1.392501,100,1.3802474242004596,,1.3816709997399277,
AF-P29669-F1-model_v4_w_H,1.371784,100,1.3998818411520901,,1.429752959485815,
AF-P31960-F1-model_v4_w_H,1.547521,100,1.829447401026517,,1.717860495573767,
AF-P32729-F1-model_v4_w_H,1.214351,100,1.3113430887775421,,1.3080141604025268,
AF-P61734-F1-model_v4_w_H,1.326871,100,1.410377550980911,,1.3594528178750143,
AF-P69995-F1-model_v4_w_H,1.375392,100,1.456684794683161,,1.4282020771972523,
AF-P75202-F1-model_v4_w_H,1.491813,100,1.5173784785009417,,1.557594728686519,
AF-P75459-F1-model_v4_w_H,1.348341,100,1.399719682372428,,1.357377642238675,
AF-P80353-F1-model_v4_w_H,1.255653,100,1.3399936902626282,,1.319816042151394,
AF-P87285-F1-model_v4_w_H,1.356538,100,1.4464443121239918,,1.4878760725022764,
