protein,Rg (nm)
A1-LCD-6R+6K,2.787
A1-LCD-10R+10K,2.849
A1-LCD-8F+4Y,2.707
A1-LCD-3R+3K,2.634
A1-LCD-10R,2.671
A1-LCD-4D,2.642
A1-LCD+12D,2.801
A1-LCD+2R,2.623
A1-LCD+7K+12D,2.8
A1-LCD-6R,2.573
A1-LCD-9F+3Y,2.683
A1-LCD+8D,2.685
A1-LCD+12E,2.852
A1-LCD-12F+12Y,2.426114
A1-LCD+NLS,2.583
A1-LCD+7R,2.709
A1-LCD+4D,2.718
A1-LCD+7F-7Y,2.75
A1-LCD-9F+6Y,2.655
A1-LCD-NLS,2.76
A1-LCD+7R+12D,2.528336
A1-LCD+7R+10D,2.501299
A1-LCD-2K,2.426558
A1-LCD-10G+10S,2.553280
GS48,4.11
Ubq4,3.19
NiV_V,6.97
ChiAM,4.73
HeV_V,6.86
GS32,3.75
hSUMO_hnRNPA1S,3.37
D14,3.9
TIA1,2.75
PCPE,4.04
GS0,3.2
GS24,3.57
S4FL,4.7
H46,4.15
Chignolin,0.545018
Homeodomain,1.114283
Protein-G,1.101303
Trp-cage,0.854043
Villin,1.033957
WW-domain,0.974185
alpha3d,1.273745
bba,1.256018
bbl,1.477492
engrailed,1.096449
gpw,1.22415
lambda-repressor,1.219512
NTL9,1.368107
Protein-B,0.987757
BPTI,1.036895
calmodulin,2.03698
GB3,1.02643
Hen-Egg-White-Lysozyme,1.384031
Ubiquitin,1.126197
1soy,1.317397
1wla,1.503506
2ea9,1.291246
5tvz,1.42463
