protein,Rg_exp,length,Rg_pre,Rg_pre_err,Rg_ess,Rg_ess_err
THB-C2,1.99,133,2.0785927495095904,,2.0215084171556597,
Ub2,2.034,152,1.9358611641096761,,1.8525130216642156,
Ub3,2.699,228,2.6319018973615353,,2.539273586199267,
Gal3,2.892,250,3.295307333717404,,3.131429833847389,
hnRNPA1-star,3.12,314,2.9180984527234384,,3.174524000848731,
FPs-GS8,3.45,491,3.7727392711958894,,3.723026548430461,
FPs-GS16,3.546,507,4.079189355695009,,3.785428382626308,
SH4UD-SH3-SH2,3.28,248,2.8488157670832694,,3.216096078305301,
TDP43_WtoA,4.11,414,4.786751227026748,,3.268204674394422,
D12,2.95,213,2.5952085927327886,,2.4532399099163413,
D23,3.08,192,2.6737880920276615,,2.505002988503326,
D34,3.34,222,3.1856568529007334,,3.1009938691313117,
SMAD4,4.7,552,3.6508869559361434,,3.2023620264073336,
