result,name,class,ref_rg,sim_rg_mean,sim_rg_std,n_residues
MOFF2,GON7,idp_test,3.18,3.143760972427244,0.02063786899570874,114
MOFF2,ChiZ164,idp_test,2.42,2.5650855405668804,0.0048520215354062035,67
MOFF2,cDAXX,idp_test,4.75,4.940609100371997,0.1118821131112262,246
MOFF2,VWF,idp_test,3.08,2.7821989077011664,0.022531786706649015,103
MOFF2,p27Cv78,idp_test,2.211,2.2952214043704626,0.00046515288534054733,107
MOFF2,D91_FATZ1,idp_test,3.86,3.672844918085046,0.05606047953475857,209
MOFF2,N_FATZ1,idp_test,3.45,3.683385203433883,0.02894065623152109,191
MOFF2,HvASR1,idp_test,3.51,3.6512435223488957,0.008369356407721629,143
MOFF2,ED3,idp_test,6.51,5.210999768856454,0.3800929257478973,373
MOFF2,DSS1,idp_test,2.5,2.754077509060937,0.025014764736097872,71
MOFF2,p27Cv44,idp_test,2.492,2.9249550055458724,0.049987141536282254,107
MOFF2,BMAL1P624A,idp_test,2.77,2.8464948520244593,0.04843985909987625,98
MOFF2,PTMA,idp_test,3.7,4.255412431342646,0.029238941984909506,111
MOFF2,ANAC046,idp_test,3.6,3.390390545832358,0.01723621244582474,167
MOFF2,ED4,idp_test,4.06,4.072621479859868,0.09618913815019026,163
MOFF2,p27Cv15,idp_test,2.915,3.290891951336369,0.003870165552484872,107
MOFF2,TIF2NRID,idp_test,3.74,3.772035246340297,0.05338658181572997,150
MOFF2,PARCL,idp_test,3.43,4.09815876400561,0.00736112485121021,180
MOFF2,p27Cv31,idp_test,2.81,3.189943017743107,0.08882592403448086,107
MOFF2,hKISS1,idp_test,3.47,3.111725798942426,0.051577782011093865,120
MOFF2,DomainV,idp_test,2.43,2.3050357702644084,0.0059536801609307854,67
MOFF2,p27Cv14,idp_test,2.936,3.164980326809788,0.03391529833057705,107
MOFF2,NHE6cmdd,idp_test,3.2,2.8542446509926522,0.05589215575452866,116
MOFF2,TtASR1,idp_test,3.31,3.83668534409089,0.03974468640961315,141
MOFF2,p27Cv56,idp_test,2.328,2.4906957106640504,0.006077503372719173,107
