protein,sim_T(K),exp_T_used(K),exp_T_exact,exp_C_sat,sim_C_sat,sim_C_sat_std
A1-LCD-12F+12Y,293.0,293.0,True,0.0610455669374779,2.9761946472019467e-05,1.1834528742457756e-05
A1-LCD-9F+6Y,293.0,293.0,True,0.3418125498662412,8.804710462287104e-05,2.3512015747999795e-05
A1-LCD-8F+4Y,293.0,293.0,True,0.695681648701783,0.0004233732360097323,3.628097154309956e-05
A1-LCD+7F-7Y,298.0,298.0,True,0.4528267943823931,0.0004680969343065695,1.7627402886379812e-05
A1-LCD-NLS,297.0,297.0,True,0.1460956642164695,0.0001546156690997567,3.5786804742743905e-05
A1-LCD+7R+12D,298.0,298.0,True,0.015675,3.383552311435523e-05,1.0806635077108138e-05
A1-LCD+7R+10D,293.0,293.0,True,0.0210330776605944,2.0899292446234304e-05,9.591345599906696e-06
A1-LCD-2K,293.0,293.0,True,0.0140508482475764,7.558300580198389e-06,6.056554941547692e-06
A1-LCD-6R,298.0,298.0,True,0.0621476510067114,2.5635864782316097e-05,1.1809613353933485e-05
A1-LCD+8D,293.0,293.0,True,0.13873,0.00010022269929869758,8.550735856605289e-05
A1-LCD+NLS,293.0,293.0,True,0.0734060402684563,4.7397372262773715e-05,1.3259359944449732e-05
A1-LCD+7K+12D,293.0,293.0,True,0.2704418344519015,0.0004719517274939173,1.8143814525711496e-05
A1-LCD-3R+3K,293.0,293.0,True,0.5950782997762863,0.0004338869099756691,3.163252849244163e-05
A1-LCD-10G+10S,293.0,293.0,True,0.2681048258229466,0.00031252399026763985,3.626823531033861e-05
A1-LCD+2R,289.0,289.0,True,0.0955,8.021665079868825e-05,2.437103237874885e-05
A1-LCD+12D,293.0,293.0,True,0.529269202087994,9.084733919770415e-05,2.397006412301803e-05
A1-LCD+12E,285.0,285.0,True,0.4781497864551556,0.00046772977170368073,1.4822718174324306e-05
