name,seq_net_charge,n_K,n_R,n_H,n_D,n_E
A1-LCD-12F+12Y,8.0,,,,,
A1-LCD+12D,-4.0,,,,,
A1-LCD-10R,-2.0,,,,,
A1-LCD+4D,4.0,,,,,
A1-LCD+7R,15.0,,,,,
A1-LCD+7F-7Y,8.0,,,,,
A1-LCD-9F+6Y,8.0,,,,,
A1-LCD+NLS,8.0,,,,,
A1-LCD-4D,12.0,,,,,
A1-LCD-9F+3Y,8.0,,,,,
A1-LCD-10R+10K,8.0,,,,,
A1-LCD+12E,-4.0,,,,,
A1-LCD+2R,10.0,,,,,
A1-LCD-8F+4Y,8.0,,,,,
A1-LCD-NLS,8.0,,,,,
A1-LCD-6R+6K,8.0,,,,,
A1-LCD+7K+12D,3.0,,,,,
A1-LCD-3R+3K,8.0,,,,,
A1-LCD+8D,0.0,,,,,
A1-LCD-6R,2.0,,,,,
