protein,Rg (nm)
1soy_clean,1.317397
1wla_clean,1.503506
2ea9_clean,1.291246
5tvz_clean,1.42463
AF-P0C232-F1-model_v4_w_H,1.262544
AF-P0CG98-F1-model_v4_w_H,1.559086
AF-P00251-F1-model_v4_w_H,1.237679
AF-P21149-F1-model_v4_w_H,1.370701
AF-P21318-F1-model_v4_w_H,1.392501
AF-P29669-F1-model_v4_w_H,1.371784
AF-P31960-F1-model_v4_w_H,1.547521
AF-P32729-F1-model_v4_w_H,1.214351
AF-P61734-F1-model_v4_w_H,1.326871
AF-P69995-F1-model_v4_w_H,1.375392
AF-P75202-F1-model_v4_w_H,1.491813
AF-P75459-F1-model_v4_w_H,1.348341
AF-P80353-F1-model_v4_w_H,1.255653
AF-P87285-F1-model_v4_w_H,1.356538
