protein,Rg_exp,length,Rg_pre,Rg_pre_err,Rg_ess,Rg_ess_err
ACTR,2.082886,71,2.5558508478215676,,2.568838565253096,
Abeta40,1.342252,40,1.6088908378431865,,1.5212852335180915,
Ash1,2.782797,83,2.959493700743553,,2.9922489514336537,
NTail,2.60829,132,3.6053049662627052,,3.691513306176558,
drkN-SH3,1.89477,59,2.2181243312103227,,2.1163484205009944,
p15PAF,2.62425,110,3.138522552466217,,3.2635822339348906,
sic1,2.376275,92,2.948999108837851,,2.916609506172131,
Evo1,1.719797,40,1.7442014461613227,,1.7880226260494165,
Evo2,1.41614,40,1.5393582065119216,,1.5265692650388887,
Evo3,1.693997,40,1.8279893550889572,,1.8556988911976777,
Evo4,2.068883,40,1.953925258428266,,1.9850553522566972,
Evo5,1.622373,40,1.7571089069673214,,1.7664827498339932,
Evo6,1.990962,40,1.9927733467638915,,2.014994211526917,
Evo7,1.956839,40,1.8821899145895522,,1.9040055725078042,
Evo8,1.591717,40,1.6364486155101932,,1.6296496907472977,
Evo9,1.539136,40,1.7244697908721518,,1.682561264398306,
Evo10,1.721316,40,1.7836250112268859,,1.8344268434612414,
Evo12,1.504181,40,1.6150981902180281,,1.6811272542848745,
Evo14,1.541279,40,1.6733963448579303,,1.7204266632074154,
Evo16,1.624857,40,1.6263020524916738,,1.5919107441760807,
Evo18,1.490031,40,1.749781541872724,,1.753511904009681,
Evo19,1.506727,40,1.7205131206049982,,1.699306095826381,
Evo20,1.512624,40,1.680623695926787,,1.6736355356815762,
Evo21,1.791241,40,1.8307361939618072,,1.8693218454341918,
Evo22,1.476496,40,1.7663987685249967,,1.7607378621002423,
Evo23,1.608504,40,1.5802111516720625,,1.6572611941067175,
Evo24,1.513395,40,1.7107349084228916,,1.751302682381482,
Evo25,1.707048,40,1.7423618148827482,,1.7539573625141114,
Evo26,1.634674,40,1.7560846500590597,,1.7594706608260064,
Evo30,1.48214,40,1.6261456418018545,,1.661513909422533,
Evo31,1.366833,40,1.6751799473999942,,1.6631644875787843,
Evo33,1.559813,40,1.589156835686745,,1.5469596613832588,
Evo34,1.459034,40,1.6524983705178633,,1.636146563599252,
Evo38,1.642762,40,1.6946434319178152,,1.66829665167855,
Evo41,1.564318,40,1.7982923157119255,,1.8067237395000253,
Evo42,1.726196,40,1.8009124852238962,,1.8054102135821108,
Evo46,1.82963,40,1.807014558469028,,1.8576410144391815,
Evo47,1.797359,40,1.8013370780342113,,1.8292518345716529,
Evo48,1.662612,40,1.7837512007265737,,1.813743846164537,
Evo51,1.939628,40,1.8560516632361115,,1.8785830748410626,
Evo52,1.501632,40,1.2055646919264205,,1.42605934924323,
